"Category","Brand_Description","Price","Review_Count","Rating"
"Security & Surveillance Equipment"," Wyze Wireless Video Doorbell Pro (Chime Included), 1440 HD Video, 1:1 Aspect Ratio: 1:1 Head-to-Toe View, 2-Way Audio, Night Vision  4.4 out of 5 stars 2,754  2K+ bought in past month$89.98$89.98 List: $99.98$99.98 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$71.49(3 used & new offers)","89.","2,754","4.4 out of 5 stars"
"Security & Surveillance Equipment"," TP-Link Tapo 1080P Indoor Security Camera for Baby Monitor, Dog Camera w/ Motion Detection, 2-Way Audio Siren, Night Vision, Cloud & SD Card Storage, Works w/ Alexa & Google Home (Tapo C100)  4.4 out of 5 stars 15,731  5K+ bought in past monthLimited time deal   $19.98$19.98 List: $24.99$24.99$2.00 coupon applied at checkoutSave $2.00  with coupon  FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$18.31(3 used & new offers)","19.","15,731","4.4 out of 5 stars"
"Security & Surveillance Equipment"," Indoor Camera, Cameras for Home Security with Night Vision, Pet Camera with Phone App, 2K Indoor Security Camera, Motion Detection, 2-Way Audio, WiFi Camera Home Camera Compatible with Alexa  4.3 out of 5 stars 3,106  4K+ bought in past month$39.99$39.99 ($20.00$20.00/Count)$2.00 coupon applied at checkoutSave $2.00  with coupon  FREE delivery Tue, Jan 30 Or fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$28.49(4 used & new offers)Price may vary by color","39.","3,106","4.3 out of 5 stars"
"Security & Surveillance Equipment"," Driveway Alarm- 1/2 Mile Long Range Wireless Driveway Alarm Outdoor Weather Resistant Motion Sensor&Detector-DIY Security Alert-Monitor&Protect Outdoor/Indoor Property - 1 Receiver and 2 Sensors  4.4 out of 5 stars 10,760  3K+ bought in past month$42.99$42.99 FREE delivery Sun, Jan 28 Or fastest delivery Fri, Jan 26 More Buying Choices$41.27(3 used & new offers)","42.","10,760","4.4 out of 5 stars"
"Security & Surveillance Equipment"," blurams Security Camera, 2K Indoor Camera 360° Pet Camera for Home Security w/Motion Tracking, Phone App, 2-Way Audio, IR Night Vision, Siren, Works with Alexa & Google Assistant(2.4GHz ONLY)  4.2 out of 5 stars 26,694  4K+ bought in past month$34.99$34.99 List: $49.98$49.98Buy 2, save 3% FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. Price may vary by color","34.","26,694","4.2 out of 5 stars"
"Security & Surveillance Equipment"," TP-Link Tapo 2K Pan/Tilt Dog Security Camera for Baby Monitor w/ Motion Detection, Motion Tracking, 2-Way Audio, Night Vision, Cloud/Local Storage, Works w/ Alexa & Google Home, 2-Pack(C210P2)  4.5 out of 5 stars 5,560  2K+ bought in past monthLimited time deal   $44.99$44.99 List: $64.99$64.99 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$35.19(5 used & new offers)Price may vary by color","44.","5,560","4.5 out of 5 stars"
"Security & Surveillance Equipment"," WYZE 2K HDR Wireless Outdoor/Indoor Security Camera, Color Night Vision, Integrated Spotlight & Siren, Rechargeable Battery, 2-Way Audio - White, 1-Pack  3.8 out of 5 stars 320  2K+ bought in past month$77.78$77.78 List: $99.98$99.98 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 More Buying Choices$76.93(6 new offers)Price may vary by color","77.","320","3.8 out of 5 stars"
"Security & Surveillance Equipment"," 4MP Wired Outdoor Security Camera with Starlight Sensor, 98ft Night Vision, Motion Detection - Kasa  4.4 out of 5 stars 2,821  2K+ bought in past monthLimited time deal   $39.99$39.99 List: $59.99$59.99 FREE delivery Mon, Jan 29 Or fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$33.85(3 used & new offers)","39.","2,821","4.4 out of 5 stars"
"Security & Surveillance Equipment"," WYZE Cam v3 Limited Edition: Black, 1-Pack  4.3 out of 5 stars 875  2K+ bought in past month$29.98$29.98 List: $35.98$35.98 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ","29.","875","4.3 out of 5 stars"
"Security & Surveillance Equipment"," Security Camera Indoor-2K 360° WiFi Cameras for Home Security，Pet/Dog/Baby Camera with Phone app, 2-Way Audio, Night Vision, 24/7 SD Card Storage, Works with Alexa & Google Home (2.4Ghz only)  4.7 out of 5 stars 1,221  4K+ bought in past month$19.99$19.99 List: $24.99$24.99Join Prime to buy this item at $14.99 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ","19.","1,221","4.7 out of 5 stars"
