"Category","Brand_Description","Price","Review_Count","Rating"
"Televisions & Video Products"," Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 22"" to 55"" TVs and Flat Panels up to 80 Lbs, Black  4.7 out of 5 stars 38,363  10K+ bought in past month$30.87$30.87 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 More Buying Choices$18.34(16 used & new offers)Amazon brand","30.","38,363","4.7 out of 5 stars"
"Televisions & Video Products"," Chromecast with Google TV (HD) - Streaming Stick Entertainment on Your TV with Voice Search - Watch Movies, Shows, and Live TV in 1080p HD - Snow  4.6 out of 5 stars 10,139  10K+ bought in past month$29.17$29.17FREE delivery on $35 shipped by Amazon.More Buying Choices$26.99(36 used & new offers)","29.","10,139","4.6 out of 5 stars"
"Televisions & Video Products"," Google Chromecast with Google TV (4K)- Streaming Stick Entertainment with Voice Search - Watch Movies, Shows, and Live TV in 4K HDR - Snow  4.6 out of 5 stars 11,721  10K+ bought in past month$49.98$49.98 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 More Buying Choices$36.01(29 used & new offers)","49.","11,721","4.6 out of 5 stars"
"Televisions & Video Products"," Mounting Dream TV Wall Mount for 32-65 Inch TV, TV Mount with Swivel and Tilt, Full Motion TV Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380  4.8 out of 5 stars 38,441  10K+ bought in past monthLimited time deal   $39.99$39.99 List: $62.99$62.99Save 5% on 2 select item(s) FREE delivery Sun, Jan 28 Or fastest delivery Fri, Jan 26 ","39.","38,441","4.8 out of 5 stars"
"Televisions & Video Products"," Roku Ultra | The Ultimate Streaming Device 4K/HDR/Dolby Vision/Atmos, Rechargeable Roku Voice Remote Pro, Ethernet Port, Hands-Free Controls, Lost Remote Finder, Free & Live TV  4.6 out of 5 stars 8,482  8K+ bought in past month$92.00$92.00 List: $99.99$99.99 FREE delivery Mon, Jan 29 Or fastest delivery Thu, Jan 25 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$79.99(36 used & new offers)","92.","8,482","4.6 out of 5 stars"
"Televisions & Video Products"," Amazon Basics High-Speed, 4K Ultra HD HDMI 2.0 Cable / Cord, 60 Hz, 2160p, 48 bit, 18 Gbps, 3D, male-to-male, 0.9m (2.9ft) for Laptop  4.7 out of 5 stars 526,073  10K+ bought in past month$5.99$5.99 Typical: $6.70$6.70 FREE delivery Mon, Jan 29 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Amazon brand","5.","526,073","4.7 out of 5 stars"
"Televisions & Video Products"," USB Type C Cable,USB A to USB C 3A Fast Charging (3.3ft 2-Pack) Braided Charge Cord Compatible with Samsung Galaxy S10 S9 S8 Plus,Note 9 8,A11 A20 A51,LG G6 G7 V30 V35,Moto Z2 Z3 (Grey)  4.6 out of 5 stars 18,882  10K+ bought in past month$6.99$6.99 ($3.50$3.50/Count) List: $10.99$10.9910% coupon applied at checkoutSave 10%  with coupon  FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Price may vary by color","6.","18,882","4.6 out of 5 stars"
"Televisions & Video Products"," HIDB TV Antenna for Smart TV Indoor, Strong Magnetic Base Indoor TV Antenna for Easy Installation, Long Range Reception HD Antenna for TV Indoor 4k 1080P Channels-10ft Long Cables  3.9 out of 5 stars 6,155  10K+ bought in past month$18.99$18.995% coupon applied at checkoutSave 5%  with coupon  FREE delivery Mon, Jan 29 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 More Buying Choices$13.29(8 used & new offers)","18.","6,155","3.9 out of 5 stars"
"Televisions & Video Products"," Basesailor USB Type C Charger Cable 6.6FT 2Pack,USBC Car Play Charging Cord for iPhone 15 Pro Max,Samsung Galaxy AI S24 24 S23 S22 21 Plus Ultra,S10 S10E 10E S20 FE Flip,A52 A53 A54,Google Pixel 8 7 3  4.6 out of 5 stars 26,307  10K+ bought in past month$9.99$9.99 ($0.76$0.76/Foot) List: $11.99$11.99 FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Price may vary by color+  ","9.","26,307","4.6 out of 5 stars"
"Televisions & Video Products"," Anker USB C Cable 100W 10ft, USB C to USB C Cable USB 2.0, Type C Charging Cable Fast Charge, Compatible with iPhone 15/15 pro, MacBook, iPad, Samsung Galaxy S23, for Home and Daily Use  4.7 out of 5 stars 24,198  10K+ bought in past month$11.99$11.99 ($1.20$1.20/Foot)Join Prime to buy this item at $8.99 FREE delivery Mon, Jan 29 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Reducing CO2More Buying Choices$8.59(2 used & new offers)Price may vary by color","11.","24,198","4.7 out of 5 stars"
"Televisions & Video Products"," TCL 40-Inch Class S3 1080p LED Smart TV with Roku TV (40S350R, 2023 Model), Compatible with Alexa, Google Assistant, and Apple HomeKit Compatibility, Streaming FHD Television,Black  Options:3 sizes4.5 out of 5 stars 789  4K+ bought in past month$169.99$169.99 Typical: $186.03$186.03 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 More Buying Choices$161.49(6 used & new offers)","169.","789","4.5 out of 5 stars"
"Televisions & Video Products"," AINOPE USB C Cable [2-Pack, 6.6ft] 3.1A Type C Charger Fast Charging Right Angle, Durable Nylon Braided USB C Charging Cable Compatible with Galaxy S10 S9 S8 Plus S21, Note 10 9 8, LG, Type C Charger  4.7 out of 5 stars 95,272  10K+ bought in past month$8.98$8.98 ($0.68$0.68/Foot)Save 6% on 2 select item(s) FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 Price may vary by color+  ","8.","95,272","4.7 out of 5 stars"
"Televisions & Video Products"," USB Type C Cable Fast Charging, Tpc001 5 Pack(6Ft 3A) Braided C Charger Cables Compatible with Samsung S10e/note 9/s10/s9/s8 Plus/A80/A50/A20  4.6 out of 5 stars 13,450  10K+ bought in past month$9.99$9.99 ($2.00$2.00/Count) List: $13.99$13.99Save 5% on 2 select item(s) FREE delivery Sun, Jan 28 on $35 of items shipped by AmazonOr fastest delivery Thu, Jan 25 ","9.","13,450","4.6 out of 5 stars"
"Televisions & Video Products"," Sony BDP-BX370 Streaming Blu-ray DVD Player with built-in Wi-Fi, Dolby Digital TrueHD/DTS and upscaling, with included HDMI cable  4.5 out of 5 stars 7,093  6K+ bought in past month$78.00$78.00 List: $89.99$89.99 FREE delivery Sun, Jan 28 Or fastest delivery Thu, Jan 25 More Buying Choices$50.86(26 used & new offers)","78.","7,093","4.5 out of 5 stars"
