"","title","author","subject","abstract","meta"
"11","Confronting the Lippmann-Schwinger equation and the $N/D$ method for coupled-wave separable potentials","M.S. Sánchez, J.A. Oller, D.R. Entem","Nuclear Theory (nucl-th)","We study a family of separable potentials with and without added contact interactions by solving the associated Lippmann-Schwinger equation with two coupled partial waves. The matching of the resulting amplitude matrix with the effective-range expansion is studied in detail. When a counterterm is included in the potential we also carefully discuss its renormalization. Next, we use the matrix $N/D$ method and study whether the amplitude matrices from the potentials considered admit an $N/D$ representation in matrix form. As a novel result we show that it is typically not possible to find such matrix representation for the coupled partial-wave case. However, a separate $N/D$ representation for each coupled partial wave, a valid option known in the literature, is explicitly implemented and numerically solved in cases where the matrix $N/D$ method is unavailable.","Fri, 8 Mar 2024 17:52:58 UTC (466 KB)"
"12","Quantum tomography of molecules using ultrafast electron diffraction","Jiayang Jiang, Ming Zhang, Aosheng Gu, R. J. Dwayne Miller, Zheng Li","Chemical Physics (physics.chem-ph)","We propose a quantum tomography (QT) approach to retrieve the temporally evolving reduced density matrix in elecotronic state basis, where the populations and coherence between ground state and excited state are reconstructed from the ultrafast electron diffraction signal. In order to showcase the capability of the proposed QT approach, we simulate the nuclear wavepacket dynamics and ultrafast electron diffraction of photoexcited pyrrole molecules using ab initio quantum chemical CASSCF method. From simulated time-resolved diffraction data, we retrieve the evolving density matrix in a crude diabatic representation basis and reveal the symmetry of the excited pyrrole wavepacket. Our QT approach opens the route to make quantum version of ""molecular movie"" that covers the electronic degree of freedom, and equips ultrafast electron diffraction with the power to reveal the coherence between electronic states, relaxation and dynamics of population transfer.","Fri, 8 Mar 2024 13:54:39 UTC (6,468 KB)"
"13","Shape of 12C","Masaaki Kimura, Yasutaka Taniguchi","Nuclear Theory (nucl-th)","We have examined the hypothesis by Bijker and Iachello who asserted that 12C has an internal structure with three alpha particles arranged in a triangular shape, leading to the formation of the ground rotational band consisting of 0+, 2+, 3-, 4$^\pm$ and 5- states. Following this idea, we reconstructed the intrinsic shape of 12C using experimental electron scattering data with minimal theoretical assumption. Our sole assumption was that the observed 0+, 2+, 3-, and 4+ states share a common internal structure, forming a rotational spectrum. The reconstructed intrinsic density showed a beautiful triangular shape with three peaks implying alpha cluster formation in the ground band.","Fri, 8 Mar 2024 13:12:07 UTC (5,808 KB)"
"14","Electrical conductivity and shear viscosity of a pion gas in a thermo-magnetic medium","Pallavi Kalikotay, Snigdha Ghosh, Nilanjan Chaudhuri, Pradip Roy, Sourav Sarkar","Nuclear Theory (nucl-th)","We evaluate the electrical conductivity and shear viscosity of a interacting pion gas in a thermo-magnetic medium using the kinetic theory. The collision term of the relativistic Boltzmann transport equation in presence of background magnetic field is solved using the relaxation time approximation. The medium modified relaxation time is obtained from the corresponding in-medium $\pi\pi\rightarrow \pi\pi$ scattering cross-section calculated using the thermo-magnetic $\rho$ propagator. It is observed that the average relaxation time shows a $1/T^4$ variation with temperature for a fixed value of magnetic field. The relaxation time shows a mild oscillatory variation with respect to the magnetic field. It is also observed that the medium dependent scattering cross-section causes a considerable amount of influence on the electrical conductivity and shear viscosity compared to its vacuum counterpart.","Fri, 8 Mar 2024 09:09:23 UTC (120 KB)"
"15","Investigating the Proton Structure: The FAMU experiment","A. Vacchi, A. Adamczak, D. Bakalov, G. Baldazzi, M. Baruzzo, R. Benocci, R. Bertoni, M. Bonesini, H. Cabrera, S. Carsi, D. Cirrincione, F. Chignoli, M. Clemenza, L. Colace, M. Danailov, P. Danev, A. de Bari, C. De Vecchi, M. De Vincenzi, E. Fasci, K. S. Gadedjisso-Tossou, L. Gianfrani, A. D. Hillier, K. Ishida, P. J. C. King, V. Maggi, R. Mazza, A. Menegolli, E. Mocchiutti, L. Moretti, G. Morgante, J. Niemela, C. Petroselli, C. Pizzolotto, A. Pullia, R. Ramponi, H. E. Roman, M. Rossella, R. Rossini, R. Sarkar, A. Sbrizzi, M. Stoilov, L. Stoychev, J. J. Suarez-Vargas, G. Toci, L. Tortora, E. Vallazza, C. Xiao, K. Yokoyama","Atomic Physics (physics.atom-ph)","The article gives the motivations for the measurement of the hyperfine splitting (hfs) in the ground state of muonic hydrogen to explore the properties of the proton at low momentum transfer. It summarizes these proposed measurement methods and finally describes the FAMU experiment in more detail.","Fri, 8 Mar 2024 08:28:57 UTC (4,456 KB)"
"16","Phenomenological model for $γγ^* \to K\bar{K}^*(892)$ constraining the $f_1(1420)$ transition form factor","Xiu-Lei Ren, Igor Danilkin, Marc Vanderhaeghen","High Energy Physics - Phenomenology (hep-ph)","To empirically evaluate the axial vector meson's contribution to the hadronic light-by-light contribution to the muon $g-2$, we present a phenomenological study of the $\gamma\gamma^*\to K\bar{K}^*(892)$ process by including the $s$-channel production of the $\eta(1475)$ and $f_1(1420)$ resonances. The non-resonant channel via $K$- and $K^*$-exchanges is investigated carefully by performing the Lorentz tensor decomposition and is constructed to yield a correct high-energy Regge behavior. The transition form factor of $f_1(1420)$ is adjusted to achieve a reasonable description of the existing L3 data. We estimate the polarized $\gamma\gamma^*\to K\bar{K}^*(892)$ cross sections, which serve as predictions for the forthcoming BESIII data. We also demonstrate the possibility to model-independently extract the transition form factors of $f_1(1420)$ from the polarized cross sections.","Fri, 8 Mar 2024 06:32:24 UTC (734 KB)"
"17","Scaling of pre-equilibrium dilepton production in QCD Kinetic Theory","Oscar Garcia-Montero, Philip Plaschke, Sören Schlichting","High Energy Physics - Phenomenology (hep-ph)","We use QCD kinetic theory to compute dilepton production coming from the pre-equilibrium phase of the Quark-Gluon Plasma created in high-energy heavy-ion collisions. We demonstrate that the dilepton spectrum exhibits a simple scaling in terms of the specific shear viscosity $\eta/s$ and entropy density $dS/d\zeta \sim {\scriptstyle \left(T\tau^{1/3}\right)_\infty^{3/2}}$, which can be derived from dimensional analysis in the presence of a pre-equilibrium attractor. Based on this scaling we perform event-by-event calculations of in-medium dilepton production and determine the invariant mass range where the pre-equilibrium yield is the leading contribution.","Thu, 7 Mar 2024 19:00:46 UTC (384 KB)"
"18","Stability of low-momentum rest frame modes in first- and second-order spin hydrodynamics","Asaad Daher, Wojciech Florkowski, Radoslaw Ryblewski, Farid Taghinavaz","High Energy Physics - Phenomenology (hep-ph)","The low-momentum rest frame stability of the second-order spin hydrodynamics is analyzed in detail. A truncation scheme of the Israel-Stewart formalism derived in our earlier work is proposed that extends the minimal causal formulation. It consists of altogether 40 interconnected relaxation-type dynamical equations -- 16 (24) of them correspond to the independent components of the energy-momentum (spin) tensor. Similarly to previous studies, we find that the stability of the perturbations depends on the form of the spin equation of state. The stability is achieved if the equation of state satisfies the generalized Frenkel condition demanding that the ""electric"" and ""magnetic"" components of the spin density tensor have opposite signs. We then re-examine the study of the first-order (Navier-Stokes) dissipative spin hydrodynamics and find a similar type of behavior, which is consistent with the overall stability of low-momentum rest frame modes in conventional relativistic hydrodynamics.","Thu, 7 Mar 2024 18:07:28 UTC (68 KB)"
"19","Isomeric states of fission fragments explored via Penning trap mass spectrometry at IGISOL","A. Jaries, M. Stryjczyk, A. Kankainen, L. Al Ayoubi, O. Beliuskina, L. Canete, R.P. de Groote, C. Delafosse, P. Delahaye, T. Eronen, M. Flayol, Z. Ge, S. Geldhof, W. Gins, M. Hukkanen, P. Imgram, D. Kahl, J. Kostensalo, S. Kujanpää, D. Kumar, I.D. Moore, M. Mougeot, D.A. Nesterenko, S. Nikas, D. Patel, H. Penttilä, D. Pitman-Weymouth, I. Pohjalainen, A. Raggio, M. Ramalho, M. Reponen, S. Rinta-Antila, A. de Roubin, J. Ruotsalainen, P.C. Srivastava, J. Suhonen, M. Vilen, V. Virtanen, A. Zadvornaya","Nuclear Experiment (nucl-ex)","The masses of $^{84}$Br, $^{105}$Mo, $^{115,119,121}$Pd, $^{122}$Ag, $^{127,129}$In, $^{132}$Sb and their respective isomeric states have been measured with the JYFLTRAP Penning trap mass spectrometer using the phase-imaging ion-cyclotron-resonance technique. The excitation energies of the isomeric states in $^{132}$Sb and $^{119}$Pd were experimentally determined for the first time, while for $^{84}$Br, $^{115}$Pd and $^{127,129}$In, the precision of the mass values was substantially improved. In $^{105}$Mo and $^{121}$Pd there were no signs of a long-lived isomeric state. The ground-state measurements of $^{119}$Pd and $^{122}$Ag indicated that both are significantly more bound than the literature values. For $^{122}$Ag, there was no indication of a proposed third long-lived state. The results for the $N=49$ nucleus $^{84}$Br and isomers close to doubly magic $^{132}$Sn have been compared to the shell-model, proton-neutron quasi-particle random-phase approximation (pnQRPA) and the microscopic quasiparticle-phonon model (MQPM) calculations.","Thu, 7 Mar 2024 18:06:56 UTC (832 KB)"
"20","Invariant amplitudes, unpolarized cross sections, and polarization asymmetries in (anti)neutrino-nucleon elastic scattering","Kaushik Borah, Minerba Betancourt, Richard J. Hill, Thomas Junk, Oleksandr Tomalak","High Energy Physics - Phenomenology (hep-ph)","At leading order in weak and electromagnetic couplings, cross sections for (anti)neutrino-nucleon elastic scattering are determined by four nucleon form factors that depend on the momentum transfer $Q^2$. Including radiative corrections in the Standard Model and potential new physics contributions beyond the Standard Model, eight invariant amplitudes are possible, depending on both $Q^2$ and the (anti)neutrino energy $E_\nu$. We review the definition of these amplitudes and use them to compute both unpolarized and polarized observables including radiative corrections. We show that unpolarized accelerator neutrino cross-section measurements can probe new physics parameter space within the constraints inferred from precision beta decay measurements.","Thu, 7 Mar 2024 17:34:02 UTC (13,767 KB)"
"21","Next-to-eikonal corrections to dijet production in Deep Inelastic Scattering in the dilute limit of the Color Glass Condensate","Pedro Agostini, Tolga Altinoluk, Néstor Armesto","High Energy Physics - Phenomenology (hep-ph)","We analyze the effects of next-to-eikonal corrections on dijet production in Deep Inelastic Scattering off nuclear targets in the framework of the Color Glass Condensate. They require the knowledge of correlators of fields in the target beyond those computed in the standard McLerran-Venugopalan model, specifically those between transverse and boost-enhanced components, and of the recoil of the fields. We neglect the latter, while for the former we develop a linear model valid for large nuclei. We considered the unpolarized cross sections for dijet production in the approximation of a homogenous dilute nucleus, obtaining simple analytic expressions for the cross sections at nex-to-eikonal accuracy, valid in the limit of total dijet momentum and dijet momentum imbalance larger than the saturation scale of the nucleus. We perform a numerical study of the results at energies of the Electron Ion Collider, finding $\mathcal{O}(10\%)$ effects in the cross sections at large total momentum. We also analyze the azimuthal asymmetries between total momentum and imbalance, finding that non-eikonal corrections induce odd azimuthal harmonics for the situation of jets with equal momentum fractions from the virtual photon, where they are absent in the eikonal approximation. Finally, in the eikonal approximation we have compared the results of our analytic expansion valid in the dilute limit of the target, and the full Color Glass Condensate results in the McLerran-Venugopalan model and their correlation limit. Our analytic expressions match the correlation limit ones in the region where both should be simultaneously valid and reproduce very well the full Color Glass Condensate results in its validity region.","Thu, 7 Mar 2024 15:53:23 UTC (1,430 KB)"
"22","Topology and entanglement of molecular phase space","Victor V. Albert, Eric Kubischta, Mikhail Lemeshko, Lee R. Liu","Quantum Physics (quant-ph)","We formulate a quantum phase space for molecular rotational and nuclear-spin states. Taking in molecular geometry and nuclear-spin data, our framework yields admissible position and momentum states, inter-convertible via a generalized Fourier transform. We classify molecules into three types -- asymmetric, rotationally symmetric, and perrotationally symmetric -- with the last type having no macroscopic analogue due to nuclear-spin statistics constraints. We identify two features in perrotationally symmetric state spaces that are Hamiltonian-independent and induced solely by symmetry and spin statistics. First, many molecular species are intrinsically rotation-spin entangled in a way that cannot be broken without transitioning to another species or breaking symmetry. Second, each molecular position state houses an internal pseudo-spin or ""fiber"" degree of freedom, and the fiber's Berry phase or matrix after adiabatic changes in position yields naturally robust operations, akin to braiding anyonic quasiparticles or realizing fault-tolerant quantum gates. We outline scenarios where these features can be experimentally probed.","Thu, 7 Mar 2024 15:13:32 UTC (5,362 KB)"
"23","Intermediate field-induced phase of the honeycomb magnet BaCo$_2$(AsO$_4$)$_2$","Prashanta K. Mukharjee, Bin Shen, Sebastian Erdmann, Anton Jesche, Julian Kaiser, Priya R. Baral, Oksana Zaharko, Philipp Gegenwart, Alexander A. Tsirlin","Strongly Correlated Electrons (cond-mat.str-el)","We use magnetometry, calorimetry, and high-resolution capacitive dilatometry, as well as single-crystal neutron diffraction to explore temperature-field phase diagram of the anisotropic honeycomb magnet BaCo$_2$(AsO$_4)_2$. Our data reveal four distinct ordered states observed for in-plane magnetic fields. Of particular interest is the narrow region between 0.51 and 0.55 T that separates the up-up-down order from the fully polarized state and coincides with the field range where signatures of the spin-liquid behavior have been reported. We show that magnetic Bragg peaks persist in this intermediate phase, thus ruling out its spin-liquid nature. However, the simultaneous nonmonotonic evolution of nuclear Bragg peaks suggests the involvement of the lattice, witnessed also in other regions of the phase diagram where large changes in the sample length are observed upon entering the magnetically ordered states. Our data highlight the importance of lattice effects in BaCo$_2$(AsO$_4)_2$.","Thu, 7 Mar 2024 13:08:50 UTC (10,514 KB)"
"24","Cluster radioactivity preformation probability of trans-lead nuclei in the scheme of NpNn","Lin-Jing Qi, Dong-Meng Zhang, Song Luo, Gui-Qing Zhang, Peng-Cheng Chu, Xi-Jun Wu, Xiao-Hua Li","Nuclear Theory (nucl-th)","In the present work, the cluster radioactivity preformation probability Pc in the scheme of NpNn for the effective number of the valence particles (holes) in trans-lead nuclei has been systematically investigated. This quantity has been explored in the simplified parametrization of NpNn as well as the multiplication NpNnI of this product with the isospin asymmetry I. The calculations for Pc are both performed in microscopic and model-dependent way. Within the microscopic approach, based on our previous work [Chin. Phys. C 47,014101 (2023)], Pc is calculated in cluster formation model (CFM) combined with the exponential relationship of Pc to the alpha decay preformation probability P alpha when the mass number of the emitted cluster Ac less than 28. While Ac greater than 28, Pc is obtained through the charge-number dependence of Pc on the decay products proposed by Ren et al. [Phys. Rev. C 70,034304 (2004)]. In the model-dependent approach, Pc is extracted through the ratios from calculated cluster radioactivity half-lives in the framework of unified fission model (UFM) proposed by Dong et al. [Eur. Phys. J. A 41,197 (2009)] to experimental ones. Both of the results show Pc in logarithmic form are linear to NpNn as well as NpNnI. For comparison, the parent-mass-number dependence analytical formula as well as the model proposed by K. Wei and H. F. Zhang [Phys. Rev. C 96,021601(R)(2017)] are also used. Furthermore, the preformation mechanic for cluster radioactivity has also been discussed.","Thu, 7 Mar 2024 12:42:21 UTC (134 KB)"
"25","Medium Assisted Low Energy Nuclear Fusion","Pankaj Jain, Harishyam Kumar","Nuclear Theory (nucl-th)","We study the process of nuclear fusion at low energies in a medium using the second order time dependent perturbation theory. We consider a specific process which involves fusion of a low energy proton with a Nickel nucleus. The reaction proceeds in two steps or interactions. We refer to the amplitudes corresponding to these two interactions as the the molecular and the nuclear matrix elements. The first amplitude involves Coulomb interaction with another nucleus in the medium while the second corresponds to the nuclear fusion process. It has been shown in earlier papers that such a second order process has negligible amplitude unless it is assisted by special medium effects. In the present paper we show the presence of a special configuration of atoms which greatly enhances the process. We find that if the spacings among the atoms can be tuned, the rate can be sufficiently enhanced so that easily observable. The spacings do not require acute fine tuning, however, if they are significantly off the rate falls sharply to negligible values. This might also explain both the successes and failures experienced by many experimentalists studying this phenomenon. We study only a particular final state which involves emission of one photon. However we show that many final states are possible which need not involve photon emission.","Thu, 7 Mar 2024 11:57:41 UTC (36 KB)"
"26","Activation measurements of an iodinated contrast media for online range verification in proton therapy","A. Espinosa-Rodriguez, V.V. Onecha, V.M. Nouvilas, S. Viñals i Onsès, P. Ibañez, S.España, D. Sánchez-Parcerisa, J.M. Udías, L.M. Fraile","Medical Physics (physics.med-ph)","The use of contrast agents has previously been proposed as a novel method to increase the activation close to the Bragg peak, aiming to improve the quality of proton range monitoring in vivo. In a recent work, we demonstrated the feasibility of $^{127}$I for online verification, thanks to its high cross-section (200 mbarn at 10 MeV) and low energy production threshold for $^{127m}$Xe. The spectroscopy-based method relies on identifying two specific delayed $\gamma$ lines (at 124.6 and 172.5 keV), which can be analyzed via single-photon emission computed tomography (SPECT). In this work, we present a proof-of-principle study to investigate proton activation in a commercial iodinated contrast media (ICM) for radiology. Five measurements were conducted at different proton energies (6-10 MeV), equivalent to the last millimeters of clinical proton range. Activation in the ICM was measured with four LaBr$_3$(Ce) scintillators. The contribution from iodine was separated from the activation of the solvent, yielding excellent agreement with previously reported data. These results demonstrate the potential of this technique and pave the way for further testing in clinically relevant scenarios.","Thu, 7 Mar 2024 11:27:19 UTC (776 KB)"
"27","Signatures of an $α$ + core structure in $^{44}$Ti + $^{44}$Ti collisions at $\sqrt{s_{NN}}=5.02$ TeV by a multiphase transport model","Yu-Xuan Zhang, Song Zhang, Yu-Gang Ma","Nuclear Theory (nucl-th)","It is important to understand whether $\alpha$-clustering structures can leave traces in ultra-relativistic heavy ion collisions. Using the modified AMPT model, we simulate three $\alpha$ + core configurations of $^{44}$Ti in $^{44}$Ti+$^{44}$Ti collisions at $\sqrt{s_{NN}}=5.02$ TeV as well as other systems with Woods-Saxon structures. One of these configurations has no additional constraint, but the other two have the Mott density edge $r_{\mathrm{Mott}}$ set as either a lower or upper bound on the cluster position $r_{\alpha}$ to check the influence of $\alpha$ dissolution. This is the first time that the initial stage of the geometric properties in heavy-ion collisions has been configured using the traditional treatment of the nuclear structure. We compare the radial nucleon density, multiplicity distribution, transverse momentum spectra, eccentricity, triangularity, elliptic flow and triangular flow of these six systems. $\alpha$ + core structures can alter all these observations especially in the most-central collisions, among which elliptic flow is the most hopeful as a probe of such structures.","Thu, 7 Mar 2024 09:44:26 UTC (96 KB)"
"28","Momentum correlation of light nuclei in Au + Au collisions at $\sqrt{s_{NN}}$ = 2.0 $\sim$ 7.7 GeV","Feng-Hua Qiao, Xian-Gai Deng, Yu-Gang Ma","Nuclear Theory (nucl-th)","Within the Ultra-relativistic Quantum Molecular Dynamics model (UrQMD) coupled with nucleon coalescence model and Mini-Spanning-Tree model, the yields of light nuclei have been stimulated in Au + Au collisions over an energy range of \(\sqrt{s_{NN}}=2.0\sim7.7\ \rm{GeV}\) and the momentum correlation functions of light nuclei pairs have been calculated by both the Lednický-Lyuboshitz and the Correlation After Burner methods. We compare the yields of light nuclei and their momentum correlation functions at midrapidity in this energy region with experimental data. It is found that there are differences between the results of the two models, and the coalescence method seems less valid at low collision energy. Furthermore, both the peak values of proton-proton correlation functions and the transition point of elliptic flows from out-of-plane to in-plane emission show a turning point around 3-4 GeV, which suggests that there is a relation between momentum correlation function and collective flow of particles.","Thu, 7 Mar 2024 09:06:19 UTC (290 KB)"
