"apUsernames","apReviewer_Date","apReviewer_Content","apRating"
"MadReviewer","11 May 2001","Much like its contemporary ""Fight Club"", the film ""American Psycho"" attempts to express dissatisfaction with the status quo of modern society through shocking (and typically violent) means. However, while this intent can be applauded -- sometimes, it's good to shake things up a little -- the execution cannot. ""American Psycho"", for the most part, features unlikable, unsympathetic characters doing unlikable, unsympathetic things to one another, ultimately creating a film that's very difficult to care about . .. or to take seriously. Based on the overrated novel by Bret Easton Ellis, ""American Psycho"" is the story of Patrick Bateman (Christian Bale), a young, handsome Wall Street stock broker who's finding it more and more difficult to deal with how utterly hypocritical and fake his life has become. He hates the world so much, he doesn't feel like a real person, so the only way he knows how to feel real is by committing acts of sadistic depravity -- rape, torture, and murder. The ironic thing is, Bateman doesn't try to cover his tracks particularly well -- he almost wants to get caught -- but no one else believes he's capable of such heinous acts; after all, how could such a young, good-looking successful man be such a monster? The problem with ""American Psycho"" lies with the psycho himself -- Bateman. Christian Bale does an admirable job with the character, considering how badly the part is written, but the fact of the matter is that Bateman is never a particularly sympathetic protagonist. Yes, the people he tortures and kills are a bunch of unpleasant, two-faced hypocrites, but considering that Bateman is really no better than they are, there's no way of understanding, let alone condoning, his actions. He also has options besides becoming a serial killer, obvious (and more positive) options.  Think about it -- Bateman's been given more opportunities (money, friends, intelligence) than most people can ever even dream of in his life, and he chooses just to squander them as an Ed Gein-wannabe?  Come on.  Another problem is that Bateman is far too sane. He's nuts enough to think up some incredibly sick stuff to do to people, but he's rational enough to realize what he's doing is wrong. It may not have made him more sympathetic, but it might have made the character slightly more believable if he'd been crazier, thinking that his sick actions were just as rational as the mundane, boring things he did at work. (A subplot involving the idea that Bates isn't actually killing anybody -- all the murders are just in his head -- helps to make the film a little more believable, but not by much.) The result? One mean-spirited person kills a bunch of other mean-spirited people. Who cares?
Visually, the film's fine. Director Mary Harron moves the film along at a smooth pace, flipping with great style between false notes of security and genuinely disturbing. However, since the disturbing elements are diluted by the fact that it's difficult to care at all about the characters involved in ""American Psycho"", some tremendous efforts in regards to cinematography and editing get wasted. Ditto the performance of the actors -- as mentioned above, Christian Bale is very good as Bates, Willem Dafoe is good as the criminally under-used private investigator Donald Kimball . . . but no actor or actress on the face of the Earth could ever make any these characters remotely interesting, likable, or for that matter, watchable.
""American Psycho"" deserves some credit for trying to be daring, but it's ultimately an emotionally hollow film filled with some oddly gratuitous, clinically detached violence. Pass this one up. Grade: C-","
            10/10
            "
"SnoopyStyle","31 October 2014","It's the 1980's. Patrick Bateman (Christian Bale) is a privileged 27 year old Wall Street investment banker working for his father. He's a master of the universe type living in a pristine apartment. Jean (Chloë Sevigny) is his suffering secretary. Evelyn Williams (Reese Witherspoon) is his annoying fiancée. He's sure that she's having an affair with Timothy Bryce (Justin Theroux) while he himself is having an affair with her best friend Courtney Rawlinson (Samantha Mathis). On top of his materialistic vapid daily existence, he has bloodthirsty nights that gets more and more out of control.Director Mary Harron is doing a slightly surreal horror slash comedy. The major problem is that I don't really care about anybody or anything in this movie. There are some witty moments like the business card oneupmanship scene. However I just couldn't bother with the annoying boorish selfish character. At some point, the movie started to bore me. He's not funny and the movie isn't really that funny either. It's not scary as a horror. There is no tension since I don't about him or his victims. I just can't make myself care about this movie.","
            1/10
            "
"jacobjohntaylor1","23 June 2015","This movie is awful. It is badly written and as an awful ending. It is not scary. I keep hearing it is comedy. Where is the hummer? I have seen comedies were I can tell there are play something for laughs and I just did not think it was funny. But do not see this movie as bad comedy. I do no see it has being comedy at all. Serial killer is one a spear. This movie is not good for people who want to get scared. It for people who like to laugh ether. It is for people who like to see a lot of fake blood. I thought is was a badly made horror movie not a comedy. Good actors wasted there talent being in this awful movie. Do not wast your time. And do not waste your money. Do not see this movie. It is one of the worst horror movies ever.","
            10/10
            "
"CuriosityKilledShawn","7 May 2004","When I first saw this in the cinema in April 2000 I hated it. But I watched it with the wrong attitude. I was judging American Psycho as a horror film. Which it certainly is NOT. It's about (as the film constantly says) a complete [loser]. He's no friends. Unable to communicate on any level with anyone of his superficial, yuppie colleagues (some of which don't even know his name), takes far, far too much pride in his appearance and has way, way to much love for his material possessions. He is Patrick Bateman. And fitting in/looking normal/being just like everyone else is the toughest thing in his life. But murder, misogyny, degradation and mutilation is what he secretly longs for. It's really only Huey Lewis and the News that prevents him from doing so.American Psycho is full scenes that are tough to watch. You'll be watching them through the gaps between your fingers. How can you not squirm as Patrick Bateman looks in the mirror smiling, flexing his muscles, while having sex with a call girl? Or taking the whole business card thing WAY too seriously? Other times the film is just laugh out loud hilarious. Bateman tells Willem Dafoe's detective he would love to help him with his case but he has a lunch meeting with Cliff Huxtable. Come on! Cliff Huxtable??? Or how about the scene in the Men's Room when Patrick attempts to strangle the gay guy?Don't watch this as a horror film. It's a comic, drama-tragedy. Patrick Bateman is a disaster waiting to happen. And his inability to stay connected to the world around him is a wicked delight. Though his world of slick, cocaine-snorting, superficial, Wall Street yuppies of 80s credibility is not really the thing anyone would want to be connected to. Maybe he's better off as a psycho with no pals.The DVD has a great looking 2.35:1 anamorphic picture and a loud, well produced Dolby 5.1 soundtrack. The extras (apart from the deleted scenes), unfortunately, are pathetic.e movie with a scene of Bateman discussing his morning facial cream routine) that the point of the satire is nearly lost: Without the fickle trends of society, Bateman is an empty shell. Save his greed and bloodlust, he is a robot.Harron tones down the violence to a lesser degree - although it is no less gruesome; the scene where Bateman, nude and bloody, chases a hooker with a chainsaw is an edge-of-the-seater - and emphasizes the story's taking place in the ""Me Decade"" with appropriate song and fashion that add to one's enjoyment of the film.Despite a lame ""Is Patrick really nutso?"" twist that hurts the movie, the point is not lost here, and Harron has a solid sophomore hit on her hands.Bale shines as Bateman, making us thank God the powers that be did not go with Leonardo DiCaprio as they at one point hoped to. Whether he's stiff, menacing, dryly sarcastic, tortured or over the edge psychotic, Bale is mesmerizing. If there's any justice in the world, Patrick Bateman will be a career maker.Too bad the supporting actors don't fare as well. With the exception of Matt Ross, who steals his scenes as a homosexual co-worker of Bateman's in a memorable bathroom confrontation, all other actors are window dressing. Witherspoon's role is written so blandly anybody could have played it, while Sevigny is incredible annoying as her characer moons over Patrick. Willem Dafoe is amiable enough as a detective investigating one of Bateman's crimes, but ... this is Bale's movie.It's a wild ride that gets a little hazy in parts, but is certainly enjoyable in most places.","
            10/10
            "
"Tweekums","5 September 2008","When I first watched this I wasn't sure what to expect as I recalled the fuss when the book was first published, thankfully the film wasn't too gory. I was also pleasantly surprised to find that it was more than just another serial killer film, as well as that it was a very funny satire about '80s Yuppies.Christian Bale plays Patrick Bateman, a self obsessed twenty seven year old who works on Wall Street. He and his colleagues are obsessed with having the best items and dining at the trendiest places. In an early scene Patrick and his colleagues compare business cards and he is mortified when one of the others has one which is more tasteful than his, even though they all look virtually identical. Strangely this seems to bother him far more than the fact that people routinely mistake him for other people. He uses this anonymity to invite out a fellow stock broker then murders him with an axe while calmly explaining how he thinks the band Genesis improved under Phil Collins influence. As the film progresses his psychosis deepens and he starts killing more and more people including a homeless man, a model and a prostitute he calls Christie.It is never one hundred percent certain that he is in fact killing people or if he is just delusional, I used to believe the latter but on later viewings think how he was getting away with his crimes was part of the satire, I liked that there are hints at both possibilities.Christian Bale's acting in this was superb, he seemed far more chilling than most movie serial killers in that while he is clearly insane he is also no different from those around him on the outside. I also thought Chloë Sevigny acted well as Patrick's secretary, possibly the only really normal person in the film.","
            8/10
            "
"rebeljenn","28 May 2006","It has been a while since I saw the film ""American Psycho"", but I remember that it did not impress me. The film is about an executive who fantacizes about having affairs with and killing women with blond hair. The killings are gruesome ones reminiscent of slasher films. I remember there to be far much more gore than there was an artistic psychological aspect. All in all, this film was fairly disturbing and it is not the sort of film that you can expect to enjoy. I probably would not recommend it when you're about ready to go to bed either. Also, it was fairly boring and slow-moving. It probably makes a better book than a film.","
            10/10
            "
"UniqueParticle","23 August 2021","One of the best movies I don't know why I didn't review sooner could've sworn I did. So many remarkable scenes some of which are very disturbing others are just brilliant and stylish! Christian Bale is one of the best actors of the last couple decades that should be praised/ nominated more. American Psycho is enticing despite its provocative nature and morbidly; I never get tired of watching it. Absolutely love the references to past killers and how Patrick says bold things regardless if people listen or not! One of my favorite bits is the unsettling business cards from Patrick's perspective and the phone call to his lawyer is masterful in every way.","
            9/10
            "
"mehobulls","13 September 2020","A terrific film about how excess, privilege, and obsessive-compulsion revolving around details can drive a person completely up the wall; couple it with debatable mental instability and illness and you have a ticking time-bomb in many different ways. Christian Bale gives a career-making performance, and the soundtrack is not only perfect, but also beautifully broken down and analyzed unlike in any movie I've seen.","
            1/10
            "
"sjanders-86430","25 February 2021","Christian Bale is able to portray a character with a drive to kill without shame. He is in pain from his obsession which will not leave. His lawyer won't believe his confession. And Paul Allen was in London. So without punishment for his wicked deeds he suffers. This is a very deeply serious portrayal of a competitive business man with aggressive violent actions. He is completely self absorbed. He does have insight: ""There is nothing there."" That statement by Bale moves him out of the sociopathic category into the psychotic
realm. He is out of control. And laughs with his friends because living with his torturous obsessions is his punishment.","
            10/10
            "
"ThereelscoopwithKK","13 December 2022","I can't think of one redeeming quality of this movie. I have no idea where people see comedy in it. There's nothing fun about it either as at least half of the movie is just a bunch of businessmen booking reservations trying to flex which restaurant they are going to. For this movie to succeed for me Bale's character needed to be at the level of a Hannibal Lecter level villain and he's just nowhere near that.I understand the movie is trying to send some message about big business corporate culture but it just pushes this too far making it not at all believable. A little subtly would have gone a long way.I've read about how it also is trying to send a message about human nature. This claim to me is just people trying to appear intellectually superior by finding meaning in a movie because it's consider a classic when there is none to be found. The only thing it actually proved about humanity is that there are highly successful, affluent people that can be as deranged as anyone else.Even if you were interested in Bateman's twisted mind the ending makes it unclear what even actually took place and what was fabricated in his mind . It really just made me feel silly for watching it through to the end.The only character I found compelling was Dafoe's character and ultimately he was quite inconsequential as well.","
            5/10
            "
"youngcollind","14 October 2022","I'm usually inclined to scrutinize a song for how memorable it is, but generally don't hold film to the same standard. If a movie entertains me in the moment, then it's done it's job, even if I never think about it again. Which makes it kind of remarkable to realize that American Psycho still takes up a great deal of real estate in my mind, twenty years after I first saw it. I mean it doesn't hurt that the film has wormed it's way so deep into pop culture that the memes and references are virtually inescapable. Revisiting it just feels like singing along to a greatest hits compilation, ""Here comes the business card scene! Watch out Paul Allen!""It succeeds by offering surface level entertainment with more under the hood. The exaggeration of both the violent and the mundane lighten the mood of the morose subject matter, making for some unexpected hilarity. Like the little dance that Christian Bale does right before lacing into Jared Leto, it's a pitch perfect comedic performance that makes the ensuing mayhem an infectiously good time.It's clear throughout that there's more to this than the surface level story, yet instead of beating you over the head with it's message, it smartly remains vague, staying open for the viewer to interpret it's themes. Obviously an indictment on 80s wall street yuppies, it's unclear how broad the umbrella is meant to stretch. Is Patrick Bateman a personification of all soulless capitalist greed? Are we all him as we modify a public persona to chase unattainable standards? Depending on how much you zoom in on the lens, you can see different things at different times, giving the film an appeal that's both personal and universal.","
            4/10
            "
"mikayakatnt","4 November 2019","An interesting character study as well as a social commentary of the materialistic yuppie culture. Absolutely amazing.Action and plot moved together like a finely tuned engine and will keep you engaged.Storyline wraps up beautifully in an open ending. The ending itself presents two possible interpretations and both are as equally terrifying.5/5.","
            9/10
            "
"ElMaruecan82","9 March 2020","I was 27 with high enough a salary to be a chain-dater, taking girls to the same expensive restaurants, especially one with the best panoramic view on Casablanca. My face became familiar to the waiters and they did a good job pretending it was my first ""visit"". I could bring girls regardless of any intentions to build a relationship; what mattered was the status. Two evenings could cost me a tenth of my salary but it was worth it. And that's the degree of vanity to which I could relate to Patrick Bateman, 26, embodying that point of a man's life where the more he eats, the hungrier he gets.""American Psycho"" is set in the 80s but things haven't changed much; in the 2010s, we could all have a nice girlfriend and yet keep on lusting on that sexy profile on Facebook. Maybe the late twenties is an age where the manly ego roars too loudly to listen to reason, maybe there are so many possibilities that we're more likely to make decisions lingering on fantasies rather than reality, moreover in a time where sex is trivialized by porn and violence by pop-culture, which ""American Psycho"" shows (as opposite of ""tells"").The film, adapted from Bret Easton Ellis's novel and directed by Mary Harron, is about that state of vanity driven to its more extreme and disturbing form. Here is Bateman's existential dilemma: should he surrender to the comfort of conformism at the risk of becoming a mediocrity (in his own terms) or acting free in the name of a supra-individuality that puts him above everyone else? The film is set during the Reagan-era and centers on arrogant yuppies who measure success by their capability to get the best tables, the most exotic meals and fulfill any kind of sexual fantasy. And Patrick Bateman is the most troubled of them: he's attractive, articulate but his moments of social adequacy are punctuated with anxiety driven by jealous rage.But the weirdest aspect is less in his behavior than the way it keeps getting unnoticed. It's very telling that the final line of the film is ""That confession meant nothing"". Many movies tend to use violence to make a specific comment against society, channeling ""Taxi Driver"" or ""A Clockwork Orange"" (there's even a scene that echoes Kubrick's film where Bateman confronts a homeless man) but in ""American Psycho"", violence says more about the perpetrator and the environment that can't perceive him as the degenerate man he is. It's not about the vanity of men who reached the top but the way they are seen as perfectly compatible with civilization although they're acting below animals, it's like a more cynical version of ""Being There"" with Peter Sellers.""American Psycho"" can also be regarded as an alternative to ""Fight Club"". In Fincher's film, men compensated the vacuity of their lives by uniting and draining their energy from their survival instinct, with a collective voice, and rejecting capitalism because it rejected humans in the first place. Harron's perspective shows men who exist individually, but whose existence are lead at the expenses of a social conscience, or any conception of love or family. It's all about consumption, competition, buying, eating, trading, a world where even women are treated like products whether prostitutes or strippers or disposable fiancées. These men didn't fight the system but embraced it, men being wolves to men.Patrick Bateman took it a bit too literally: anyone above him is a dead man, anyone who admires or loves his Alpha aura might get away, someone with no goal whatsoever, no philosophy of life, deserves to be killed. Destruction is what connects both ""Fight Club"" and ""American Psycho"" but if in the former, the mayhem was supposed to build a new order, the message was still contradicted by its homoerotic undertones and its constant gaze on Brad Pitt's beautiful abs. The film was tantalizing our voyeuristic tendencies. We get the same gaze on Bale, when he's taking a shower and narrates his cosmetic morning routine, but it's devoid of passion, it's cold and soulless and his naked body is often associated to scenes of horror that connects between the two worlds of fantasy: violence and nudity. It's just as if the real motive of the 'Fight Club' was to create a sense of belonging, to build a collective male body instead of restoring justice.Mary Harron deconstructs the myth of masculinity through the portrayal of many metrosexual men as self-important and gossipy as the Beverly Hills housewives. Bateman has everything: a steady and gratifying job, a huge apartment in New York, a beautiful fiancée (Reese Witherspoon) and yet he's devoured by a constant urge to destroy whatever can spoil this feeling of perfection, even someone whose business card looks better. The film blends toward horror and comedy with rather gruesome episodes, but there's never any attenuating circumstance, Bateman has no moral alibi. He was raised by pop-culture, Reagan, and considers killing something as casual as ordering a hamburger.It might be the extreme point from which we understand the inconceivable: why would someone who'd accept that thousands of people die from a transaction accept to be ethical? Why would someone who's at the top of the human pyramid, decides to have casual sex with an average Jane or accepts marital commitment? Why would he indulge to normal behavior? That's the point, the higher climb as a man and the looser will be your sense of moral, (look at the Weinstein or Epstein scandals) and maybe Bateman, whether he commits the actual crimes or dream of them, is the embodiment of both masculinity and capitalism dark side.And Bale's extraordinary performance is crucial because he never tries to make his character sympathetic when he confronts us to our potential for degeneracy and hypocrisy. ""American Psycho"" is an underrated 2000s film, oddly prophetic, revealing new depths at each viewing.","
            10/10
            "
"george.schmidt","27 April 2004","American PSYCHO (2000) **** Christian Bale, Willem Dafoe, Jared Leto, Reese Witherspoon, Samantha Mathis, Chloe Sevigny, Justin Theroux, Matt Ross, Cara Seymour, Josh Lucas, Bill Sage, Guinevere Turner. Filmmaker Mary Harron attempts the impossible: adapting, with co-scribe Turner, Bret Easton Ellis' controversial blood-drenched satirical 1991 novel with surprising success. Instead of relying on the ghastly acts as the focal point in diluting the gore factor (the audience must fill in the blanks for each act not unlike the original 'Psycho') she instead makes Patrick Bateman – Jack The Ripper in Armani - (Bale in a mesmerizing, darkly funny turn) a hypnotically scary 'merger and acquisitions' (or is that 'murder and executions'?) Wall Street proto-yuppie living large in the late Reagan Eighties to the extreme and caving in to his inner voices by killing at random with elan and irony tongue-through-cheek (trust me you'll never hear Huey Lewis and The News' 'Hip To Be Square' in quite the same way) aplomb. Dare I compare him to 'A Clockwork Orange's Alex? Sure, he's just as maladjusted but not so much at blaming society, although the film does underscore throughout the absurdities of class warfare and contemporary thrillseeking (extreme sports being who has the better looking business card) forsaking identity, which is the key point here even if it means splitting a skull with an axe every now and then. Well scripted and acted ; no easy feat.","
            8/10
            "
"Kdosda_Hegen","22 April 2020","Possibly the most pretentious character in film history. The film delves into so many themes like materialism, hypocrisy, manipulation, influence, trends and much more. All themes are viewed from the protagonist's perspective yet all of them are about him really. But what makes this different from other films is that here the protagonist is self-aware of some of all his misdeeds. The protagonist is so complex that even he himself isn't sure if he knows himself. This is some serious work where every scene could be analysed for ages of what it all means. This is top-tier writing and execution. The film leaves dozens of questions unanswered, yet provides us with enough information to fill the gaps however we want.","
            10/10
            "
"arminhage","8 August 2014","I've never read the book so I do not make a comment whether it was a good adaptation which if it was, I'm certain the book is also awful! Movie has no hero, no nemesis, no direction. Audience does not know what to expect. I would say the whole story is comparable to a movie like ""The Great Gatsby"" a pointless body of motion picture trying to lure audience with scenes of ultra rich extravaganza! Movie is mostly talking heads with limited action, 75%+ of the movie is plain exposition, explaining everything but something relevant to the movie, absolutely nothing to root for. OK, it is a motion picture about the daily life of a rich psycho who kills people... so what? What is the message? What is the resolve? Where is the structure? Screenplay never followed the approved Hollywood guidelines, one simple flat line from start to finish so I wonder how did it pass the studio executives into production. The exposition was so weak that the audience may not realize that the movie occurs in late 80s not early 2000s, apparently the director assumed that everybody read the book and now wishes to see it on big screen. I barely finished the movie, it was pure waste of time and I do not recommend anybody to waste her time!","
            1/10
            "
"acidburn-10","7 September 2023","'American Psycho' is a brilliant horror satire that blends disturbing imagery with social commentary about the superficial and materialism aspects of the 80's. The movie does a fantastic job of adapting the novel by Brett Easton Ellis by focusing more on the satirical aspect of the book, yet still manages to include plenty of violent set pieces and thanks to a smartly written script, superb direction and an iconic leading performance, everything comes together beautifully and creates an entertaining viewing with layers beneath the surface.The plot = Set in the 1980's Wall Street era, a wealthy investment executive Patrick Bateman (Christian Bale) has everything going for him, but he's also a psychopath and decides to act out his violent fantasies.The narrative is somewhat loosely told and plays secondary to the satire, but thanks to strong production values, stunning cinematography and the overall tone of the flick the movie is smart as it is engaging and all of that is thanks to the amazing central performance by Christian Bale whose absolutely perfect in this role, he delivers the look and delivery the character needed, a lesser actor would have taken the movie down with him, but thankfully Christian Bale is one of the most talented and diverse actors out there and this was a star making turn for him.Overall 'American Psycho' is an excellent feature through and through and still holds up well after more than 20 years. Clever, witty and horrifying, this movie is a treat and a modern day classic.","
            9/10
            "
"poolandrews","17 June 2007","American Psycho is set in New York where Patrick Bateman (Christian Bale) the Vice President of a Wall Street banking firm enjoys a hugely successful life with a beautiful apartment, loads of money, the best clothes, the finest food & all the luxuries anyone could ever want. However under the calm & calculating exterior Patrick has psychological problems as he has a violent blood-lust which he satisfies by killing people he has contempt for & he also likes perverted sex sessions with prostitutes (then again who wouldn't?). His latest victim Paul Allen (Jared Leto) is missed & his fiancé hires private detective Donald Kimball (Willem Dafoe) to find him, will Patrick be exposed as the homicidal maniac that he is or can he get away with it...This American Canadian co-production was co-written & directed by Mary Harron & I have to say that I didn't think that much of it despite it's reputation. The social satire laden script by Harron & Guinevere Turner who played Elisabeth the high class prostitute in the film was based on the controversial novel of the same name by Bret Easton Ellis & I just don't 'get' it's appeal or why anyone would particularly want to sit down & watch it, overall I think it's quite a dull & repetitive film with some nice dialogue & a few decent scenes which save it from total banality. Some of Bateman's monologues along with the amusing yet pointless speeches about the merits of 80's pop groups & the style of people's business cards are pretty funny at times if trivial & if your looking for some sex & nudity then American Psycho might do it for you. I was expecting more in the horror department if I'm honest, there's barely a drop of blood in it & certainly nothing graphic, pretty much all of the character's are very unlikeable & one dimensional with Willem Dafoe's cop getting about three scenes before he is completely dropped & I also thought it was boring with pretty much the same thing happening scene after scene. I wasn't impressed by the ambiguous ending either which tries to be clever but I just found it frustrating as it never clarifies if it was all in Bateman's imagination. Personally I didn't think it was anything to write home about but there does seem to be a lot of people out there who like it, so maybe I just went into it with the wrong expectations & quite simply it's just not for me.Director Harron does OK, there's a nice elegance to the way this is shot with nice camera slick moves. The film nails the whole 80's yuppie thing very well as these unlikeable people spend money like water, care for nothing or no one but themselves & have beautiful apartments for which I'm very jealous. I found myself becoming bored with all the yuppie satire going on & again it just felt very repetitive. I wouldn't say there's anything scary here or even particularly that violent although there are a couple of fairly strong sex scenes.With a supposed budget of about $8,000,000 this looks nice enough with sleek & stylish cinematography but what does that matter when the film did so little for me? Set in New York it was actually mostly filmed in Ontario in Canada. The acting is OK, I don't really know if I liked Christian Bale's performance or not. Willem Dafoe is utterly wasted in a nothing part.American Psycho is trying to be a complex dark thriller which wants to say something about 80's upper class society in New York, I'm sorry but weren't the 80's like 20 years ago? I'm sure there are many out there who like or even love this film & I'm proud to say right here & now that I'm not one of them, average at best & an irrelevant bore at worst. Followed by the straight-to-video American Psycho 2: All American Girl (2002) which has no connection to this at all apart from a vague Patrick Bateman reference.","
            1/10
            "
"wwwgabereis","25 June 2022","I mean it made me feel like i was high having memory issues. This was not that great it wasn't scary and it didn't have feeling either this is a movie that was systematically over rated for this or for that but it really isn't great its not like you're missing out if you choose not to watch.","
            10/10
            "
"judealexharnett","3 December 2023","This movie is absolutely absurd. Patrick Bateman is a literal psychopath yet is living in a world even crazier than he is. I'm gonna be honest, I'm not 100 percent certain I know what's going on but I do believe this movie is up to interpretation to a certain extent. Patrick Bateman as a character is very interesting. The dude is crazy, yet he's also extremely meticulous, cold and calculating. Despite all this he's extremely materialistic and envious, like in scenes such as where all the buisnessmen are showing they're cards. Which all happens to say vice president btw, another indication that Bateman is crazy.The ending was quite good as well. Did bateman's lawyer have lunch with Paul Allen, or was it just another generic, sociopathic businessmen? Either way this movie is definitely a fun little commentary on American buissness man and a pretty thought provoking one at that. I don't think it would be ridiculous to say that this is Christian bales best preformance. 9.8/10.","
            10/10
            "
"edantheman","22 May 2013","When Bret Easton Ellis's novel 'American Psycho' was released in 1991, many accused him and his work of misogyny. It isn't hard to see why: female characters are depicted as either vacuous or stupid and are usually mutilated or killed by Wall Street banker Patrick Bateman, an undoubtedly misogynistic protagonist. Which is why noted feminist Mary Harron fought tooth and nail to direct Guinevere Turner's film adaptation with Christian Bale as her leading man, after creative pairings such as Oliver Stone and Leonardo Dicaprio and David Cronenberg and Brad Pitt fell through. And how inspired her vision is! While a male director may have been impressed by the Nietzchean aspect of Bateman, Harron regards him as a hopelessly vain and emotionally underdeveloped young man, weak for being unable to control his violent impulses. One suspects a male director would not have let his camera linger on our antihero in the shower for quite so long as well.Christian Bale veers from smarm to plain evil in every scene. A vapid grin will flash upon his face just as quickly as the light will glint off the side of the axe he ploughs into a colleague's face. As the late critic Roger Ebert said of his performance (couldn't have put it better myself), ""there is no instinct for self-preservation here"". A far cry from the pretentious 'Dark Knight' films of late, then. With an emotional range of, as the character expresses it, 'greed and disgust', he doesn't provide us with much to relate to as a human being but as the actor himself has said, ""he's certainly a guy you'd like to eavesdrop on"". More so than the countless other vapid shells of inhumanity surrounding him, who often have no lines to read but serve to remind us that Patrick Bateman is, in his own words ""an abstraction... something illusory..."" In a movie about endemic consumerism, everyone has been made-up to look indistinct within their scene, with nearly identical glasses, haircuts and suits. Hair and make-up also deserve particular credit for creating the monster's face. A glimmering sheen of sweat on his otherwise perfectly composed visage tells us when he's 'on the verge of frenzy' and a single tremor in his herb-mint facial mask of sanity reminds us it is always about to slip. His fanatical devotion to a rigorous exercise routine, balanced diet and daily beautification regimen borders on the religious. Never has the lipstick and rouge been applied so subtly yet significantly as here.To aurally demonstrate to us how much men have 'evolved', in the scene where our WASPs compare business cards, SFX designer Benjamin Cheah employs the sound of a sword being removed from it's sheath to draw parallels with the equivalent practice of their knight ancestors of Britain and the Netherlands in Medieval times. It reveals, terrifyingly, how little man has really evolved since. A soundtrack that wouldn't seem out of place in any piece of Hollywood fluff of it's era serves only to heighten our protagonist's psychopathy here.Whether it's Phil Collins' epic meditation on intangibility 'Invisible Touch' or Whitney Houston's ode to monogamy and commitment 'The Greatest Love of All', Bateman clearly likes the product they're selling him: life, security and happiness (without the pursuit –an AmEx credit card will do). He would value a wife and son much in the same way as he would a new Louis Vuitton watch or Giorgio Armani suit. An item is an item to him: something he has to have. When he gives his dinner guests the sanctimonious lecture on world hunger, he's merely imitating something he's heard on TV. Content means nothing, form is everything (""...inside doesn't matter..."").After implausibly shooting it out in the street with the cops, Bateman crashes in his office where he tearfully confesses his many crimes, mostly ones unseen by us, to his lawyer over the answering machine (the detachment of the 80s now seems relatively intimate). The next day, however, a prescription-drug mood-controlled Bateman confronts him in a downtown bar only to find that his guilty voicemail has been mistaken for a joke. Meanwhile his secretary Jean, the only sympathetic character of the story, peruses his business diary of gory doodlings in the film's only scene removed from the perspective of our own 'psycho'. So, which is it short for? Have we all been witness to the inner-ravellings of a psychotic? –that particular strain of unreliable narrator being a popular theme at the time, e.g. 'Fight Club', 'Memento'. It would seem unlikely that Harron, or Ellis for that matter, would want to waste ninety minutes of our time studying a character who, by his own admission, is 'simply not there'. Not that it isn't a character study.Rather, it is one of a nation. A singularly American psychopath. There is great significance in Ronald Reagan delivering his address to the nation regarding the Iran-Contra scandal on the TV moments before Bateman confesses to camera. In the speech, Reagan denied having knowledge of the unlawful dealings while refusing to apologise for his ignorance. When Nixon announced his resignation apropos the Watergate scandal, the American people were outraged. Fast-forward thirteen years and they were too sedated by psychotropic drugs and MTV to give a sh*t that a shadow government had been selling arms to Islamic militants in Iran with the proceeds funding anti-communist death squads in Nicaragua, all in their name. Much the same can be said of the yuppies depicted herein; who claim to have dined with Paul Allen after Bateman killed him, fail to hear his sinister homicidal remarks over drinks or misinterpret his deadly advances. They mistake each other for different people throughout, which would seem to uphold his psychopathy. The film is best viewed as an allegory for the all-consuming male vanity and self-absorption of the time period. The beginning of the end of patriarchy.This review has meant something.","
            10/10
            "
"fedor8","30 December 2006","Most of the gory details were avoided, which is probably the only interesting thing in a book which delves on the Reagan era and how evil and egotistical it was - if the movie is anything to go by. What a boring old left-wing point to make. How original and insightful! We are presented with a psychopath who is supposed to be funny as well as menacing. To mix satire or even comedy with this genre is truly stupid and cannot come to any good. Plus, a couple of scenes are dumb in the ""Nightwatch"" or ""Copycat"" or even ""Hitcher"" vein: Bateman kills a fleeing hooker by throwing a running chainsaw down a flight of stairs - as if he spent all his life practicing for such an occasion. Of course, no one - in that large New York building - is there to see or hear the prostitute's screams or to see and hear a blood-soaked Bateman running through the hallways nude and with a chainsaw in his hands. (But perhaps the unfeeling, insensitive 80s are to blame and its selfish 80s inhabitants.) It is also unexplained how exactly he manages to clean the blood and drag the body up five or six floors to his flat without anyone seeing him and without leaving a bloody mess all over the place. But the nonsense doesn't end there. He also kills an old woman because she saw him pointing a gun at a cat (plenty of stray cats in Manhattan, of course) and after that he goes on a killing spree after which he weeps and confesses his crimes to a lawyer by phone. A psychopath with a guilty conscience?! Later, he meets the lawyer and tells him that he is Bateman and that the phone message was no joke, and that he killed the character Paul. To this the lawyer says that he had dinner with Paul twice in the last ten days! What the hell is that?? Did he imagine it all? Yet there is no indication at all that he imagined it all. And even if he had: what's the point?! Plus, he doesn't seem like the type of serial killer who would be dumb enough to try and kill his secretary, especially since a detective already hangs around him a lot.It was clear to me from the very start of the preparations for the making of this movie that there was a lack of seriousness about it: they wanted Di Caprio to play the lead! Di Caprio the serial killer. No wonder the movie turned out so bad. Considering this, then maybe Bale wasn't such a bad choice. They actually fixed Bale's very English teeth so that they would look ""perfect"", i.e. yuppie-like, for the role. Instead, it looks as if he is wearing one of those very cheap, fake, bright-white vampire teeth (minus the fangs). So what have we learned from this mess? Serial-killer thrillers are hitting new lows (i.e. highs) in stupidity, and bad novels should not be filmed. This piece of crap even has a sequel.","
            4/10
            "
