"bttfrUsernames","bttfrReviewer_Date","bttfrReviewer_Content","bttfrRating"
"Big Movie Fan","4 June 2002","Time travel movies never disappoint-that is because the concept of time travel is a very interesting one which most people must have thought about at one time or another. What would happen if you went back in time and an innocuous act changed the course of history for better or worse? It's something to think about.I won't reveal any plot details for this movie because it will spoil it for those who haven't seen it. Let's just say that Michael J. Fox as Marty McFly ends up back in 1955 where a sequence of events inadvertently orchestrated by Marty threaten his very existence. He is aided by Doc Brown played brilliantly by Christopher Lloyd who tries to get him back to 1985 without causing any damage to the fabric of time.The movie is great-and I feel it can be enjoyed by anyone regardless of their individual tastes in film genres. In fact, I find it hard to believe anyone could dislike a film like this. It has action, adventure, plenty of humour and some cool moments. All the actors involved in the movie play their parts great.Anyone who watches this movie will love it.","
            9/10
            "
"hannahsutcliffe","21 July 2015","As a child, I used to watch this movie religiously. I loved the chemistry between Doc Brown and Marty McFly, I loved the all too familiar soundtrack and the ridiculous way in which George McFly laughs. This movie has become such a nostalgic and feel-good film for me. I had the good fortunate to see all three 'Back to the Future' movies in cinema last year and it was such an experience to watch this timeless classic with people who enjoy this film as much as I do. Everyone has to see this film at least once in their life! Such an amazing, funny Sci-Fi from the 1980's. I just can't get enough of this movie - it will just never get old. Cannot recommend it enough!","
            9/10
            "
"Smells_Like_Cheese","1 December 2006","I just asked my friend that I'm speaking with through instant messenger if he had ever seen ""Back to the Future"" and he said ""Yeah, who hasn't?"", sadly, I never had the opportunity until tonite and he called me a failure as a movie buff, well, at least I've seen the movies now! Ha ha! I'm back on track! Well, obviously, this is my first review for the first Back to the Future and when I came her to IMDb, I knew this was a well loved movie, I was just amazed at it being on the top 250, but I can't give it a lower rating because Back to the Future was an excellent film that was ground breaking for it's time and still today.Marty McFly and his good friend, The Doc, are two science nuts. Marty isn't really happy with his home life and the fact that he and his parents are very square and strict, The Doc calls Marty and shows him his latest invention, his De Lauren that he built into a time machine. When the government go after The Doc and Marty has to get away, he jumps in the car and goes back to the year of 1955, when his parents met. Instead of the way his mom and dad met happening to his dad, he ends up being in the position and mom ends up falling for her son, not even knowing! But he has to make sure his parents are together in time so he can get back without altering the future.Back to the Future to this day is still a timeless treasure that I notice more and more is becoming part of a newer generation. Michael J. Fox should be proud, his work will be remembered for a long time. Back to the Future worked so well because of the great story and the humor was great, the whole cast worked together and made a terrific movie that will be looked back on thirty years from now and still be considered cool.10/10","
            10/10
            "
"Kirpianuscus","29 August 2016","all seems great. the idea, the script, the acting, the details who define each period. and the flavor of ""50's in the most realistic manner to define it. sure, it is the result of a happy meeting between a courageous and real great director and the best actors for its project around a dream who is preserved by the imagination of each from us. but not the idea is the most important thing. the mixture of humor, tension, cultural references, the chemistry - yes, the word sounds strange but in this case is the best - between Christopher Lloyd and Michael Fox , the wise use of clichés about teenagers and family, the ignored guy who becomes hero, all make the story to roll in amazing manner. so, a sort of masterpiece. and one of the most adorable meet with a film. off course, a legendary one.","
            10/10
            "
"ad-17","18 April 2000","A funny sci-fi? Unusual but here it not only works but does so spectacularly. A whimsical but very clever time travel story that bedazzles you leaving you wanting more.The charasmatic Michael J Fox plays a wonderful bumbling high schooler searching for love, a guitar gig and his existence which he himself threatens to erase.Clever and humourous references litter this fun flick; references which are further improved upon in the sequels. Views of the same scenes from different angles, different perspectives and different timelines abound.Fun for the entire family.","
            10/10
            "
"ironhorse_iv","21 July 2014","Synchronize your watches! If my calculations are correct, when this baby hits 88mph, you're gonna see some serious s***. Directed & written by Robert Zemeckis, this movie will forever remind me of what good-feel movie is supposed to be. The movie is about a teenager from 1985, Marty McFly (Michael J. Fox) whom is sent back in time to 1955. While, he was there, he meets his future parents in high school and accidentally becomes his mother, Lorraine (Lea Thompson)'s romantic interest, causing a time-rip. Marty must repair the damage to history by trying to get his parents to fall in love, and with the help of scientist Dr. Emmett ""Doc"" Brown (Christopher Lloyd), while, also finding a way to return to 1985. I love the fish out of water history time-travel comedy, with the high-stakes action scenes. It was very entertaining. I love how the film has its running gags, and inside jokes of historical pop culture events; of Robert Zemeckis's work, and what was happening in the 1980s at the time. The movie has everything for every audience member, at the time. While, most movies were risqué and adult-aimed at the time; this movie balance it, enough to make it watchable for both family and single house-hold settlings. Parents went to go see it for nostalgia reasons. While the movie is mostly set in 1950's, it's truly a mark of the 1980's. I have to give the movie props with its controversial movie dilemma, with the Oedipal relationship with his mother. In any other movie, this might be tasteless, and turn people off, but Back to the Future made it work. I can also buy that, teenager Marty McFly would be friends with an older mad scientist, Doc Brown without it being creepy. Both have this father/son relationship that I love from this film. Mad praise to Christopher Lloyd for creating this character for his own. I can't see, anybody besides him. The production was indeed challenging. There were some changes that help the film, a lot. First off, is the title of the film, the film was almost call, 'Spaceman from Pluto'. Gladly, somebody came to their senses, and went back into the title, 'Back to the Future'. Another is that, while, Michael J. Fox was the first choice to play Marty McFly, but he was committed to the show Family Ties. So they hired Eric Stoltz. I wouldn't say, Eric Stoltz would be awful in the movie, but indeed, Michael J Fox was the best choice for the film and they wait on production, until Fox's schedule opened up. The supporting cast is well-acted. Crispin Glover that played George McFly got all George's nerdy mannerisms, right. Lea Thompson is just amazing, and beautiful actress to play Lorraine McFly. Thomas F. Wilson as the bully, Biff Tannen was just hilarious. Every scene with him, made the film, so much better. You'll love to hate him. The set use for the film is one of the most famous movie backlot, previously being used in such works as 1962's To Kill a Mocking Bird, 1960's Inherit the Wind, and others works. The movie had a pretty good pace. There weren't a lot of slow or boring moments. Maybe, the beginning, it does take them, forever to get the time travel part of the film. Eight minutes were cut, including Marty watching his mom cheat during an exam, George getting stuck in a telephone booth and Marty pretending to be Darth Vader. Thank God, they cut the 'Nuking the Fridge' idea. An early draft of the Back to the Future script saw Marty travelling through time in a fridge and being caught in a nuclear bomb detonation. Spielberg would later use this in 2008's Indiana Jones & Kingdom Skull. Zemeckis almost cut out the ""Johnny B. Goode"" sequence as he felt it did not advance the story, but the preview audience loved it, so it was kept. The visual/special effects are just ground-breaking for the time, and it's just beautiful to watch. The opening scene, flawlessly sets up the film's central themes of time and space, provides heaps of exposition. The music by Alan Silvestri is emotional, epic and intense music. It's give the feel of two friends alone, fighting alone against two of the greatest forces ever know to humanity; time and fate. About Huey Lewis and the News, ""The Power of Love"". It's a product of its time. It doesn't hurt or help the film. It's just there. I do love the 'Earth Angel' song. It's romantic as hell. There are some nitpicks that I could focus on, like the time-travel plot-holes, but trying to understand the logic of all the time travel paradoxes, would take you out of the movie, and give you a headache. It's not worth it. Still, how his parents never find out that Marty McFly look like the kid, Calvin Klein from their childhood? Other faults of the movie are, the Pepsi product placement and its over used clichés. The movie also one of those films that would audience would see anything in it, as people see symbolism from 9/11 tragedy, JFK assassination conspiracy, Aliens, and others. Others see the film, themes taken from ancient and spiritual myths such as Kronos vs Zeus, the Bible, and others. One thing, it did influence is the skateboarding culture. The movie occurred during the 1980s infancy of the skateboarding sub-culture. The film was such a success, that it create two sequels, 1989's 'Back to the Future Parts II' and 1990's 'Back to the Future Park III'. It also create an animated series, theme park ride, several video games and a forthcoming musical. As with all great movies, Back to the Future, has stood the test of time. It never gets old. Overall: Power up the DeLorean, turn the time circuits on and get the flux capacitor! Where we're going, we don't need roads.","
            9/10
            "
"Angry_Arguer","3 July 2003","Back to the Future is one of those rare, almost forgotten, pieces of pop culture that, surprisingly, draws little attention to itself.  Unlike such notable gimmicks as Star Wars, Indiana Jones, Jaws, and Independence Day, there aren't any low-budget leeches trying to imitate off this work and cash-in on its success. This is due to the near flawless script.  Why it didn't win an Oscar, you're guess is as good as mine.  Making a time-travel storyline as in this movie that doesn't fall into plot holes the size of Terminator's is exceptionally difficult.  I'd know.The film starts slow, and gradually accelerates as it progresses.  You could almost call it a Jerry Bruckheimer movie for kids with Spielberg's trademark nostalgia.  The characters themselves are typical stereotypes for a movie like this and none of them, not even Marty himself, gel with potential.  In some ways it's as if MAD magazine made the film in an attempt to be serious.With such an automotive obsession as this film has, one must wonder if George Lucas was involved.Overall, I have to praise this movie for its inventiveness and originality, even if it created most of our time-travel cliches.  4 out of 5 stars.  Well worth your time.","
            10/10
            "
"onetrickpony-97192","30 November 2015","This is without a doubt, my favorite movie of all time. Back to the future stars': Micheal.J.Fox, Christopher Lloyd, Lea Thompson and Crispin lover just to name a few. I did that without checking ether which proves that I've seen this movie WAY to many times in a week (6 times to be exact). Lets get to the plot.It's about a kid who gets sent to the past, accidentally stop his parents falling in love and seducing his mum? Creepy.Real talk time!!!! (A time when I talk about whats good/bad about a movie) The Cajigger: (main plot item) it is the DeLorian the coolest time vehicle ever made. 88/100The feel: this move irradiates 80s' it has the cool guitarist, it has the girls with weird hair, it has the teen which just wants to rock 'n' roll... PARTY ON.The Doc: he is the equivalent of mixing Dr Frankenstein, Mel Brooks and Dr Evil. You get the idea. A funny, crazy scientist. It's as epic as it sounds.This movie is easily the best time travel movie and even the best movie ever made.don't do yourself a disservice and not watch it. GO WATCH IT.","
            9/10
            "
"SmileysWorld","16 September 2001","I feel that there is no such thing as a perfect film,but in today's cinema,""Back to the Future"" comes amazingly close.It has laughs, AND thrills,always a great combination.I am amazed at the attention paid to nearly every single detail here.For example,at the start of the film,Doc and Marty are in the parking lot of the ""Twin Pines Mall"".Then,shortly after Marty arrives in 1955,he accidently runs over one of old man Peabody's beloved pine trees.Toward the end, after Marty returns,the name of the mall changes.This is something you just don't notice until you see the film several times as I have. Excellent casting,particularly Christopher Lloyd as the unforgettable Doc Brown,the humor of the Ronald Reagan bit and the Johnny B. Goode sequence,along with the ultimate heart pounding ending and the attention to detail as I mentioned make this film as close to perfect as you will see in modern cinema.The sequels? Forget them.This is the only one of the trilogy you need to see.","
            9/10
            "
"tfrizzell","5 September 2000","""Back to the Future"" is a very smart film that benefits from likeable characters and an insightful screenplay.  Michael J. Fox accidently goes back to 1955 in a DeLorean that has been turned into a time machine by the wacky Christopher Lloyd.  Now Fox must bring his parents together after he inadvertently changes the future.  It is not quite as complicated as it sounds.  The film is great fun that seems brand new 15 years later.  A great movie by Robert Zemeckis.  4.5 out of 5 stars.","
            10/10
            "
"James-392","8 February 2001","Back To The Future (1985) is my all time favourite movie. It's a thoroughly feel good film, accessible to all ages and enjoyable from the 1st to the 45th time of watching and never fails to bring a smile.  Humour for all ages and a kick-ass car to boot, what more could a young kid want? Or those young at heart?From Marty's ""Johnny B Goode"" to Doc's classic ""Run For It Marty!"" You'll find that even though you know what's coming next, you'll still laugh. It is the ultimate feel good movie, the weed overcomes the bully, the dreamers wishes come true and all because a nosey old bird thrusts for a nickel ""Save The Clock Tower!""It's popularity spawned 2 sequels and although it got decreasingly good in terms of quality as a film, Back To The Future remains the best film in my repetoire and a safe bet when you need to feel good.It gets a solid 9 out of 10, comedy, fantasy, the gorgeous Lea Thompson, the insane but comic Doc and the typical teenager Marty make this film a must for all young at heart.","
            10/10
            "
"spyder7","23 October 2005","I watched this movie again for about the seventh time after a 10 year lapse or so. If there ever was magic on screen, Back to the Future has it. By the end of the film, I was only thinking, ""Wow, Hollywood was once capable of putting magic on the screen."" It really makes you wonder if the best of Hollywood is behind us.To summarize a few components of the movie: The storyline and plot are superb, even with the minor plot holes. The acting is spot on in every scene. Today's film editors should watch this film a hundred times to see what editing should really be like, nearly flawless. The direction is unbelievable in my opinion. The screen writing and script are perfect as well and will make you laugh and smile throughout the movie. Every line by the awkward McFly family, every crazy rumbling of ""Doc"", and even the cheesy bully taunts of Biff fit together so well.When I sat down to watch this movie a few days ago, I expected to see an aged movie that I remembered being much better than it actually was. I'm so glad I was wrong.","
            10/10
            "
"DMP-2","11 January 2007","When you talk about Back to the Future, you have to talk about the whole trilogy. Because Zemeckis and Gale didn't make sequels they extended the length of one film, which is very different than a sequel.The ultimate film must allow the audience feel part of the film and relate to the characters. This film is the best because it takes a fantasy story and makes it adaptable to real-life. I don't know how soon anyone will be able to time-travel, but you can relate to Marty McFly's (Michael J. Fox) reaction to the change. Even if you're not a teenager you can believe it in someway. Back to the Future is the perfect and its been extended into a masterpiece with 2 sequels or extensions as I see it. Definitely a must see, if your pathetic enough not to have seen in at least the last 8 years.Amazing story by Gale and Zemeckis. Great acting especially by Michael J. Fox, but also great work by Christopher Lloyd, Lea Thompson and Tom Wilson. Such an exciting an involved story.","
            10/10
            "
"Hitchcoc","15 July 2014","Lots of tongue in cheek. Some great characterization. A chance at redemption. These movies showed Michael J. Fox to be a wonderful comedic presence. It is sad what happened to him, but can there be a more impressive example of a person who has overcome the tribulations that life has given him. Whenever I see him in ""The Good Wife"" as the slimy, underhanded character lawyer he plays, I love that I can ""not like"" a man who is dealing with devastating Parkinson's. As the principle character in this movie, Marty is shoved from one situation to another in a time he only can guess at. He has to face the youth of his father, a febrile wimp who gets pushed around. Then, of course, there is the wonderful Christopher Lloyd as the professor. While one could never accuse this film of being true science fiction with all the implications of time travel, there is a kind of suspense that works very well. It's pure fun and is the best of the three films in my opinion.","
            8/10
            "
"mjw2305","15 January 2005","Time travel is a difficult subject to cover in a movie, but Spielberg pulled if off with the Back to the Future trilogy.Michael J Fox in his finest role as Marty Mcfly and Christopher Lloyd as Doctor Emmett Brown make an unlikely pair, then again a DeLorean makes an unlikely time machine, so i guess it doesn't matter.OK so there are some plot holes (Marty the youngest Mcfly, dissapearing from the photo last) for example, but the overall impact of the film is so entertaining that bigger plot holes could have been allowed and the film would have been just as good. It's hard say why this movie is so great, or why it still looks as good as it does, even by modern standards (don't forget this is 20 years old) but if it has escaped your viewing then just see it as soon as possible and i'll bet you'll want to see the rest of the trilogy the second you finish watching it.I think it's just entertainment in its purist form.A big 9/10","
            10/10
            "
"jonflottorp","15 April 2022","Back to the future is a great movie and in my opinion the best comedy movie of all time.The acting is great, Michael J. Fox was the perfect actor to be Marty Mcfly. He makes the character feel so real and funny.The characters are great, literally no character is bad and if your looking for the best character in movie you have it in this movie, i'm talking about Marty Mcfly the comedy the character brings is great, i love his arrogance. The plot is perfect. The cinematography is also great.They used the budget in the best way possible.Doc is one of the funniest characters of all time.This movie is referenced so many movies and Tv shows.It's a perfect movie for the whole family and i recommend it in so many ways!","
            9/10
            "
"JudgeChaos","8 May 2015","When I was little, my mom bought this movie on DVD for my dad. He turned it on one day and I brushed it off as ""one of those weird old movies daddy likes"". Eventually, I came out, sat down, and watched it. And the rest was history. I was so in love with this movie, that for 80's day at my school, I dressed up as Marty McFly. Nowadays, I love the movie more than ever. My favorite thing about this movie is the relationship between Doc and Marty. Most of the time, when a kid or teen hang out with an older person in movies and TV, people think they're more than friends. How many jokes have you heard involving Batman and Robin's relationship? However, Marty and Doc's relationship is pure friendship. I'm really good friends with one of my drama teachers, so I know how strong that type of friendship is. What else can I say? I love everything about this movie! If you haven't seen this movie, go see it now. Like...right now. Stop what your doing and go see it.","
            9/10
            "
"hitchcockthelegend","14 November 2009","It's 1984 and director Robert Zemeckis, fresh from the success of Romancing The Stone, is trying to film Back To the Future - a film about a young teenager called Marty McFly who is accidentally sent back in time to 1955 and inadvertently risks the future of his family. Zemeckis is troubled by his leading man, Eric Stoltz, who just isn't capturing the youthful teenager exuberance that he wants for Marty McFly. Stoltz is jettisoned and in comes Michael J. Fox who was busy wowing audiences in the hugely popular sit-com Family Ties. Fox had been first choice anyway but couldn't get a release slot from shooting with Family Ties. Luckily the wasted time with Stoltz created an opening for Fox to play Marty McFly as well as work on the show - the result of which would turn out to be one of the most beloved fantasy trilogies of the modern era.It's honestly hard to find anyone who seriously doesn't like Back To The Future part one. The second one has its critics, because, lets face it, it's a bridge between two better films, while the third film loses some people because of its Western themed plot (the heathens that they are). Yet really this trilogy opener is as near perfect cinema for all the family as you could wish to view. It's a water tight script from Zemeckis and Bob Gale that not only encompasses witty time travel paradoxes, but also dares to be dramatic into the bargain. The first 15 minutes contains a real shocker that is as cheeky as it bold, something that really gives Marty's 1955 quest a real urgency that the audience can buy into as the comedy relief then comes in spades. The set pieces are first rate - hello skateboard - hello rock ""n"" roll 101, and the makers have fun in winking towards other notable sci-fi pictures along the way. Hell they even manage to deal in an Oedipal strand that is tasteful, handled superbly and garners guffaws aplenty. No mean feat that last one actually. Alan Silvestri provides a whirring & pleasing score and the theme song, The Power Of Love, by Huey Lewis & The News, is infectiously enjoyable. Finally it's the cast that seal the deal for why this is as good as it gets for fantasy escapist cinema. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson & Crispin Glover are the perfect quintet, each feeding off each other and doing justice to the excellently constructed story.Made for $19 million, Back To The Future went on to make a worldwide gross of over $381 million, and those are the kind of figures you really can't argue with. It's snappy, happy and down right funny, so really, if you don't like Back To The Future then seek medical help immediately. 10/10","
            8/10
            "
