"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"tomsawyer-01858","30 June 2023","First, the car actions are great, a lot of imagination, a lot of CGI, and great locations.In-between, we get some asskicking, much more ordinary.Following these hate scenes, we get some emotional scenes.Like love for family is everything. And of course some of them are dying to go back to some hate.Diesel is such a bad actor, impossible to accept any of his emotional scenes, be it love or hate. He has not evolved in 20years of filming. There is nothing in between, just primitive emotions for the brainless.Jason Momoa is the bad guy, followed be some minor bad guys. His character is so over the top, and he obviously enjoyed the acting. But some maniac jokes of bad taste are not funny at all.His scenes are the only ones worth watching along with the fake computer generated car stunts, who throw overboard the most basic laws of physics. It is just incredible how many stuntmen and visual effects experts worked on that movie. I suppose each one only worked on 5 seconds of a scene. They all need to be paid, and it surely takes a hell of a resource management to make it a coherent finished product.The music is just annoying during the stunts, just too loud, a brain killer...For a budget of 349 mio USD, a lot of stars appear just for a few seconds, like they visit to attract people to the theatres to keep the money flowing in, and leave with the loot.I won't name them, I don't want to be an acomplice of their deception...","
            4/10
            "
"exceladeogun","18 June 2023","Fast XA big splashy pile of rubbish. The plot is a poor rehash of the former movies, with nothing new or compelling to it.The performance by the cast is mostly bland, except for Jason Momoa and John Cena. This is the most impassive and drab portrayal of Dominic Toretto by Vin Diesel, and this is especially frustrating, as this is meant to be the beginning of the end of this franchise. The supporting characters are numerous, but due to the short screentime and unceremonious entry they have, they all seem like an endless introduction of cameos. Jason Momoa as the villain of this movie is the best thing. He's charismatic and campy, and his jokeresque performance is refreshing. John Cena also gives a good performance, with a good blend of bravado and hilarity.This franchise is hinged on farfetched action but this instalment is sheer dumb, and the funny ridiculousness that the former instalments have is absent here. The CGI is not good, and the direction and editing can be choppy at times, this is especially poor seeing as this is the sixth most expensive movie ever made, wonder where all the money went, probably to the sprawling uninteresting cast.3.5/10.","
            3/10
            "
"laplante-co-672-297856","25 June 2023","You know a franchise is bankrupt when it ends on a cliffhanger... and you just shrug with disinterest.Vin Diesel walks around looking perpetually constipated. Villain Jason Mamoa seems to be channeling Heath Ledger's Joker at times. Former stone cold bad guy, John Cena, is now the goofy half of a road trip duo. Helen Mirren's Queenie is dropped in for just one scene with no explanation as to how she got there. Does it make sense? No, it's strictly for fan service. Michelle Rodriguez... okay she's still hot so I was fine with any of her scenes, even the dumb one where she wakes up in an underground prison in the Antarctic.I thought it couldn't get any stupider after they went into space in the last movie. I was wrong. Not only are some of the action set pieces stupider in this movie, but they look worse for it as a result of some sub-par CGI. Early on, the crew deals with a giant nuclear bomb/ bowling ball rolling endlessly through the streets of Rome. Watch the reactions on the faces of the background crowds as they scurry out of the way. They are underwhelmed as they react to something that will be digitally inserted later on. You'll react the same way.It's not surprising this disappeared from theatres so quickly.","
            4/10
            "
"dorMancyx","22 May 2023","I had a mission walking into that theater, and that is to count the number of ""family"" spoken in this movie. At the end of the day, I got about 2 ""familia"", 3 ""fam"", and a grand total of 28 ""family"". See if they can break that record next time!Nothing much needs to be commented about the film itself: we launched cars into space last time to destroy satellites, what less could you expect? Screw the logistics, screw physics, and screw Newton with his screwing apple tree! And guess what, if you do manage to stay awake after an hour, you'll start to understand how F&F actually survives the 22-year journey of production --- by not giving a screw! Hey, remember when Gal Gadot's character got blew up? Yeah screw that she quitting DCU so we resurrects her in our universe. Remember how Jakob was the cold-blooded villain just one movie before this? Screw that we got Peacemaker to play him this time cuz it makes great comedy. Remember when not even Dune dared announcing sequels until the first week of release? Screw that, Villeneuve ain't know nothing about making sequels, we bringing Fast 12 on the calendar while releasing the trailer!So yeah, here we are, anticipating Fast 11 next year, when the man named Dominic I-Am-Groot Toretto asserts dominion over Dante the Jokerized Aquaman, of course, with the help of his family.","
            6/10
            "
"abisio","19 May 2023","Original Fast and the Furious was copy of Point Break (a not very successful masterpiece that later become a cult classic) exchanging surf boards by cars. It worked and guarantee a sequel but Diesel was not interested so it was replaced by Tyrese Gibson. The movie was highly successful but produces decide to do a cheap one in Tokyo; that end up with a Diesel cameo granting the fourth installment.The fourth part had the original protagonists and made some money; so after a while Diesel become one of the producers and with the higher budget and few spectacular scenes became an absolute blockbuster.That luck lasted for the next four movies; keeping mostly the same cast (minus some dead that came back to life) and strongly villains and spectacular almost realistic scenes.Weil it is not the case here. The only good thing is Momoa doing the bad guy and having fun; and John Cena doing some kind of sympathetic monster.The rest of the cast; as good as usually is; has very little to do; and has little interaction with Diesel.Diesel itself is a complete disaster. He barely act and is basically Superman; it was a thief originally but now became a generous loving person who only cares about his family and friends.Louis Leterrier and usually good action movie director used to lower budget movies; does not seems confortable with this one.The special effects are very poor; that last sequences is really lame and very cheap made and the movie is overload with fight sequences and very little cars ones. In fact the most spectaculars are the ones showed from FF 5 a few times during this movie.To make matters worse; the script is absurd; overly long (141 minutes) and the movie has no ending; leaving open for X2 or XIIn brief; do not lose your time; is obviously the intention was to squeeze the franchise make some extra bucks but at least should have try to keep the level of the previous movies.","
            2/10
            "
"Aries_Primal","9 June 2023","With FF7 series died. It was logic end after Paul died. FF 4 was the last good film from the series actually. From poor kids stealing to upgrade their cars fro the love of race, now we have cars in space, burning giant ball bombs, Azkaban prizons, some gay-sloppy avengers and nothing from the original vibe and magic. I watched because I was drunk and bored but this crossed all lines. I can't imagine what money actor get to play this, but there's no family or fans or whatever - this is a shame recorded for money. Imagine if those money went for a good cause, not cheap - expensive effects and idiotic plot... I liked FF, now I don't.","
            1/10
            "
"fairdraconica","2 July 2023","Surprisingly, the only interesting and entertaining character in this film is Jacob, played by John Cena. I guess, wrestlers know how to entertain people, which is something that film-makers have, apparently, forgotten.I expected nothing good after the previous film, but I didn't expect anything this bad. The characters of Dom and Letty are so badly written it hurts. How could you let the main(!) characters drop the ball like this?Speaking of the ball; the idea with the giant, round bomb that has to detonate in a body of water was stolen from the Batman franchise. Are they even capable of creating anything original anymore?The rest of the 'family' continues the trend of becoming more and more unwatchable and unbearable with each new instalment.They probably decided that the cliché of an annoying kid character that tries to behave like an adult for comic relief was a good idea. It wasn't. The kid, by the way, looks like neither of his parents, nor does he look like the baby that Dom brought home years ago. I felt no connection between the boy and the beloved characters of Elena and Dom.But, of course, it gets worse, because we're subjected to the pure torture of having to tolerate the most talentless and uncharismatic actress this franchise has ever seen... Brie Larson. I wanted to put my head in the oven every time she opened her mouth.","
            1/10
            "
"Top_Dawg_Critic","23 May 2023","I mean they didn't even try to hide the fact they are all mostly two word titles with copy-pasting the same sentences in different order in one paragraph. Racing Victors, Racing Heat, Racing Rivals, Racing Independence, Racing Mavericks, Racing Tranquility, Racing Liberty, Racing Bliss, Racing Winners, Racing Explorer, Racing Heaven... and many, many more - and those are just the titles starting with Racing, there are other obvious patterns with different title words.This has to be a world record for bogus ChatGPT reviews. I mean it's pretty bad when the producers have to stoop so low, and they're that lazy to even hide the fact they are trying to fool their audience this way. It also proves how little faith they have in their own film. The current Rotten Tomatoes critics 54% rating is a more accurate. I gave it a generous 6/10.It's too bad more effort didn't go into the writing and S/VFX (which needed major toning down and lacked realism), as they put towards trying to fool their fans of the franchise. This was too long, too slow, and too cartoonish. The writing was infantile, like it was written by a bunch of prepubescent giggly teens, and Momoa's character was too overboard and can't be taken in long doses. They basically tried to copy The Joker's character instead of creating his own persona. His performance however was still the most engaging and entertaining. Don't even get me started on the lame ending which will punish anyone following Vin Diesel on social media with him constantly counting down the days until the next ridiculous part 2 of Fast X. They should've just put us all out of our misery and ended this franchise at a nice even number.Nevertheless, still a decent popcorn watch riddled with brainless exposes of plot holes and nonsense entertainment, especially if you have nothing better to do and almost 3 hours to waste.","
            6/10
            "
"redkyng","9 June 2023","Fast 8 was probably the peak of mediocrity and I couldn't imagine a worse than this, but the immortal Vin Diesel somehow managed to do much worse, this movie isn't just mediocre but really stupid, the plot is a complete nonsense, hilarious twists, bad CGI, bad acting, and some awful scenes that i had really to laugh at especially the 3rd act.Vin Diesel is THE ISSUE of this franchise, he needs to step down and reboot the whole thing and maybe we will have something good out of this saga,1 out of 10 is really too much for this crap, i even couldn't enjoy Mamoa cliches, he wasn't the worst but God I hated the way they created the character!Don't waste your time if you want to enjoy a movie, this one isn't good enough!","
            1/10
            "
"wifeymoof","21 June 2023","I thought after Fast 9, it couldn't possibly get any worse? Could it? Oh, yes! Garbage. Revenge story, again. Unbelievable fights, again. The cgi was epically poor (the car coming down the steps in Rome).How can you have a cast like this and make a trash pile of cat turd. The ONLY saving grace was Momoa. I loved his character. What a change from the bog standard ""bad guy"". Again, I liked Shaw. But its not enough to save Fast X. The absolute kicker, was the surprise survival of a character. Just leave it be. Don't waste your time or money and let the Franchise pass away peacefully. No one can save this.","
            5/10
            "
"ItsRobinTV","17 May 2023","I don't know what I expected from this movie. It's a total mess. But let's try to stay positive and start with a good point.The opening is probably the best part of the movie so make sure you enjoy it. Additionally, all the scenes with Jacob were surprisingly good and funny where on the other hand the scenes with Roman and Tej aren't that funny anymore. Also you need to stay till the Post credit scene. I would say it's worth the wait.But enough good things. The story is very bad. Normally, the action compensates the bad story but this is not the case here because the action is also one of the worst we have seen in a Fast & Furious movie yet combined with even worse VFX. Furthermore, the cars should be a very important aspect of the movie but no, not in this one. The cars play a pretty small part and are just there so they can call it a Fast & Furious movie. Also the movie is too long. We only see bad action after bad action and then learn about how a new character is related to this whole family, just boring.And the most important question: Are the scenes realistic? Not really but after we have seen a car in Space the scenes are relatively realistic.With this movie Universal just wanted to make money but completely forgets about us fans. After we watched it we are forced to watch the next one and spend even more money which is just too bad. Well, I think that was everything and I hope you enjoyed this review.","
            4/10
            "
"movieman_kev","20 May 2023","#FastX (Spoiler-free)At this point, I don't know if spoilers for certain aspects of this film would in fact be spoilers or be considered a PSA, but I digress. I get ahead of myself. Let's start from the beginningMomma always taught me not to write angry. My local AMC being a scant 2 miles from my apartment, I decided it was as good a time as any to heed that axiom. Perhaps the brisk walk home would calm me down. Settle my nerves. Perhaps I could even devise a less profanity-laden diatribe of how awful this film was and approach it in a state of zen.The walk worked a tad but when I started writing I could feel the seeth start anew. The endless cliched dialog recycled from countless other films, the stale humor way past its expiration date, the ok action sequences that were better done in previous Fast and furious films. The Ending... all of these intertwined to leave a rancid taste in my mouth.Even the parts of the film that worked (Jason Momoa makes for a reasonably fun villain, Statham is always a joy to watch doing his thing) are fleeting, in the later's case his part is much to small, in the former the long bloated runtime dillutes his appeal somewhatIs it an all together AWFUL film? Nope not really. It is what it is. Is it a vast disappointing outing for the series? YESD (me being generous)TLDR: Go on keep milking the franchise for every last drop and see how many of us say F it and merely wait for streaming.","
            3/10
            "
"disnotbetty-10195","9 August 2023","Dominique Toretto is back and his family. This time his team is sent on a mission in Rome, but it is a trap. Someone has set them up. There is a bomb, and car chases all over Rome. Cars are crashing, exploding, burning up. Rome is a mess.Enter Dante Reyes, (Jason Momoa) the son the late drug lord, Hernan Reyes. Dante holds Dom responsible for his father's death and Dante wants revenge, ""Blood"" Revenge He is determined to make Dom suffer, and watch all of his family suffer.""I am the man thats going to break your family, piece by piece"" - Dante
Now everyone that Dom has ever cared about is in danger. Even Dom's enemies must become his allies. Dante will not stop. He is coming for everyone.""The devil's coming"" - Cipher
Fast X story is a bit choppy and all over the place and mostly repetitive and predictable. Actually it just looks like a bunch of random scenes put together with no real story. Oh and so many awesome actors with absolutely nothing to do. Then suddenly the movie just kind of ends with no warning?? That was strange.But this is the Fast and Furious and so there is lots and lots of car chases, lots of cameos and unbelievable and somewhat ridiculous car stunts and crashes.... And there is also Jason Momoa doing his best Joker. A bit too much for me.So what has happened to my Fast and Furious? I think I will go back and watch the original and forget I even watch this one.Cast - Vin Diesel, Jordana Brewster, Michelle Rodriguez, Jason Momoa, John Cena, Jason Statham, Helen Mirren, Rita Moreno, Tyrese Gibson, Ludacris, Sung Kang.","
            2/10
            "
"nb99","20 May 2023","Do you remember the game people used to play where someone would write down the first line of a story on a piece of paper, fold it back so the next person couldn't see it and then they'd add another line, fold it back etc. Then at the end you'd read the story in full and laugh at the results? Well I think that's how Fast X was written. It's a mish-mash of the previous 9 films rolled into one with cameo appearances from almost anyone who's ever starred in any of them. The problem is the story is nonsensical - we have jumps to shoots all around the world for no reason at all. We have a few maudlin scenes from the past. And of course (this is not a spoiler as it's now everywhere in the press) Fast X is not in fact the last film of the franchise so there is no closure of any sort at the end. The cast felt tired, going through the motions. I think even they think there's maybe been too many movies in this franchise. The only saving grace here was the wonderfully over the top villain played brilliantly by Jason Momoa - every scene he was in stood out.Yes there's the usual over the top stunts (though personally I thought not as good as some of the previous films) racing for no real point, fight scences etc so the fans of the franchise will probably enjoy it. But as a standalone film and even in comparison with the previous 9, it's a bit of a mess.","
            5/10
            "
"bestdesigns","2 July 2023","This was worst of all all fnf movies. Total nonsense, not a single action scene makes any sense. Whole movie was full of illogical action scenes. I dont know how can someone rate it higher than 5.So the bad side just wait for things to get in favor of heroes . Bad guys could kill anyone anytime but they sit and wait. If he has gun he ll just wait and dance with it.Last action figure is worst of all. I dont know how can someone rate it better. With such budget and such cast this could have been much much better. Dont know why no one from production team see all this. Even indian tamil movies make more sense than this movie.","
            2/10
            "
"arabnikita","20 May 2023","Fast X (2023)The Fast and Furious franchise has become the topic of endless jokes whether it's the nonsensical plots, Bollywood rivalling action or the obsession with FaMiLy. While they did have their moments, after part 5, the reason why I watched these films was to roast the stupidity with my friends and hopefully to get some enjoyment out of it. Everytime I wondered what science defying spectacle they were going to shock me with but sadly this time, everything was rather normal by the standards of the franchise.In Fast X, the family of racers turned secret agents goes up against a new omnipotent villain named Dante who is a hybrid of Mugatu From Zoolander, Tom Hardy's Charles Bronson and Jared Leto's Joker. Dante is on a mission to make Dom suffer but over the course of the movie, it's the audience who ends up suffering the most. Unlike the predecessors, there weren't any cool elements, enjoyable fight sequences or laughable moments to make the experience worth suffering through. Considering that cars are a superpower of the franchise, there weren't enough car related sequences either.Even though there is an action sequence with blasting music every 5 minutes, I actually felt bored most of the time. On one side it's the general cacophony of the events and poor VFX while on the other, it's the lack of this logic defying craziness that I have come to expect. When I wasn't bored, I was cringing from the dialogue and painful head splitting humor. Oh, and when did John Cena go from a cold blooded murderer to a fun loving uncle?Fast X is a pure set up for the sequels as the story dashes between geographical locations while shoving too many characters and giving some of them around 3 minutes of screen time. I have obliterated the past 4 movies in my reviews but I have never been bored while watching them. It's neitehr grounded like the first four movies nor is it over-the-top like the next five. Better than Fast Nine but still hazardous to the human brain.Movieswithoutshmovies on Instagram for honest movie and TV reviews.","
            3/10
            "
"steveinadelaide","28 May 2023","I buckled up for the latest instalment in the adrenaline-fueled franchise, Fast X. Having previously enjoyed the well-made escapist nonsense of this franchise, I eagerly anticipated this action-packed joyride. But the reality falls short of the high-octane thrills and heart-racing moments we've enjoyed during this long-running, beloved series. Directed by a new visionary, Fast X struggles to find its footing, leaving me with a disjointed and lacklustre experience.Though intended to be the cornerstone of the film, the plot feels convoluted and overstuffed. The narrative attempts to tie up loose ends from previous entries, resulting in a tangled web of unresolved storylines and contrived twists. The themes of loyalty, family, and redemption, which once resonated deeply, are now lost amidst the chaos of overblown action sequences and cheesy dialogue.Unfortunately, the once-charismatic characters we've grown to love seem to be mere shadows of their former selves. The lacklustre performances by the ensemble cast dampen the film's impact, leaving me yearning for the chemistry and charisma that once made this franchise shine. The newcomers fail to make a lasting impression, and their interactions feel forced, lacking the organic camaraderie we expect from a Fast and Furious film.While attempting to inject fresh energy into the series, the direction falters in execution. The pacing is erratic, with frenetic action scenes abruptly juxtaposed with moments of forced sentimentality. The director's attempts to reinvent the franchise fall flat, resulting in a disjointed and unsatisfying experience.The score, cinematography, and production design, once standout elements of the Fast and Furious films, fail to leave a lasting impact. The familiar pulsating beats and slick visuals that defined the series are noticeably absent, replaced by generic choices that fail to elevate the overall experience. The special effects, too, lack the finesse and attention to detail we've come to expect, leaving action scenes feeling artificial and detached.The editing further exacerbates the film's issues with jarring cuts and questionable transitions. Scenes that should have heightened the tension instead fall flat, as the editing fails to maintain a cohesive flow. The dialogue, filled with clichés and uninspired one-liners, adds little depth to the already weak characterisations, leaving me longing for the witty banter and memorable lines that once made these films a guilty pleasure.While Fast X attempts to recapture the essence of what made this franchise a global phenomenon, it falls short in almost every aspect. As a viewer, I felt a palpable sense of disappointment, longing for the days when these films delivered heart-pounding action and captivating storytelling. It pains me to say that Fast X fails to leave a lasting impact, leaving me questioning the franchise's future.Fast X is a lacklustre entry in the series, struggling to find its place amidst a convoluted plot, underwhelming performances, and a misguided attempt at reinvention. Despite its best intentions, the film fails to deliver the thrills and emotional resonance that made its predecessors successful. Fast X is a forgettable and disjointed experience that falls far behind the high standards set by the franchise-strap in for a disappointing ride.","
            3/10
            "
