"tlmrUsernames","tlmrReviewer_Date","tlmrReviewer_Content","tlmrRating"
"mutiaraherawati","4 March 2014","If you watch the trailer and you think its just gonna be a fun stop-motion animated Lego movie, you were wrong. The Lego Movie is beyond fun. its creative and it brings back a lot childhood memories. The story was amazing, the jokes were hilarious, and they have great intention in details.But, the most important thing, the movie remind us to be creative. Because sometimes, As we grow up, in someway, we stop being creative and just follow the rules and instruction. For adults, this movie will bring back your childhood memories and how you used to play randomly with those Lego. And for a kids, you'll just love this movie, and definitely makes you want to play with your own Lego.totally worth watching movie! even your grandparents will enjoy this movie! 9/10","
            9/10
            "
"Animany94","12 October 2018","I never expected a movie about living blocks of plastic to be this good. It has lots of comedic splendour pouring out at a fast pace, a solid plot with many unpredictable twists and turns and last but not least a really heart-warming message for everyone watching. An all out enjoyable flick for anyone who needs cheering up.","
            10/10
            "
"TheLittleSongbird","4 September 2014","There was the initial worry to whether a film based on a popular (and timeless) children's toy merchandise would work, as results have been mixed on that front, but the trailer did look amusing and the reviews and ratings were great and I as a huge animation fan saw it anyway. The good news is that it does work, yes it is a little rushed at times, especially towards the end, and the last half hour got a touch complicated (if the pacing had slowed down then it would have helped). But what was so brilliant about The Lego Movie was how it took this merchandise and managed to make such a colourful, clever, imaginative and enormously entertaining film out of it when it could have easily been the opposite. The animation is really first rate, the vibrant yet dynamic colours are remarkably vivid and a lot of the visuals especially in the action are very inventive. There is a bright and breezy soundtrack that compliments The Lego Movie beautifully, wasn't that ""Awesome"" song catchy or what? The Lego Movie's chief selling point is that it is an outstandingly well-written film with snappy dialogue and thick and fast jokes that all hit their mark, by far the funniest film I've seen in a while. The action is also block-busting in the very best of ways. It's not all hilarious though, because there is a lot of heart in The Lego Movie and the message will be an inspiration to anybody. The characters have their entertaining quirks and personalities yet the film really allows you to properly care for them as well, the most colourful being the villain President Business. And what a fine voice cast too, with Will Ferrell stealing the show, he is a hoot, but Morgan Freeman's dignified blind seer and Will Arnett's splendidly dour Batman are worthy of note too. Chris Pratt is a likable, chirpy protagonist but not quite as memorable as the supporting roles. To conclude, a brilliant and near-perfect film, animated or otherwise, that people of all ages and the whole family can enjoy. 9/10 Bethany Cox","
            9/10
            "
"bob the moo","30 December 2014","It was approaching the end of the year when I finally joined everyone else and enjoyed seeing the Lego Movie, a few seasons after it was released. Although I try not to pay attention to hype and critical response, it did seem like a positive that the same people sneering at Transformers for being a pumped-up toy commercial, were perfectly in love with the Lego Movie even though it is entirely reasonable to point out that it will do that product absolutely no harm to be literally the building blocks of a bright, colorful film where one of the messages is to be creative and mess around with things. The plot is quite light – a perfectly ordinary construction worker who spends his life following instructions and order, suddenly finds himself declared the Special One by a group called the Master Builders, who are racing to prevent Lord Business from destroying the world as they know it.It is a bare bones plot but the flesh put onto it is actually pretty good. With access to a range of characters and franchises, the film has a lot of fun playing with the Lego brand but also the many other brands and characters that it can draw in; this produces a busy film with lots of opportunities for pop culture references and jokes – a lot of which it takes. This is accompanied by lots of frantic action, which is well animated but perhaps just too busy to be fun all the time (often I struggled to really see what was happening amid all the rapid colorful movement – again the type of comment thrown at Transformers but less-so at this). All of this makes it entertaining and the novelty of the Lego is well used to add to the comedy.Towards the end there is a nice development which I thought was pretty clever and well done; it also opens the door to bring heart into the film by virtue of making it more than cat poster messages and snappy one-liners. It has a reasonable try at this but it was a case of leaving it too late, and it hadn't manage to get this aspect to work through the film in the way that it really needed to have done to sell it totally. Still liked it for trying, but it is an extra at the end, not part of the overall being of the film. This feeling of it being very about the moment, slick and polished is ironically not helped by reading the cast list, since it is a great list of names all sharing the time. The positive of this is that off the page, they are all very good in the film itself, even if many of them are basically doing what we know they can/will do. So Pratt is fun and personable but basically is just doing Andy as a Lego figure. Ferrell, Neeson, Banks, Arnett and others are all good while I enjoyed the many smaller turns ranging from Day and Hill through to Daniels and Billy Dee Williams.All told it is lively fun, with plenty of crafted dialogue and delivery, but it is the area of heart where it doesn't totally hit home; leaving it entertaining but perhaps not quite worthy of the hype.","
            10/10
            "
"joefletch-16443","1 December 2018","This a fantastic movie with great animation and characters that are likeable. Chris Pratt, Elizabeth Banks and all the others the song is annoying though.","
            9/10
            "
"skatechannel85","22 February 2014","my god this movie is amazing, and surprisingly pretty darn good. the animation is spectacular, acting is great. I forgot the premise though. it's funny, creative, and enjoyable for any age I'm 19 and I like this film. great cast, its just a lot of fun. bring your friends, family and see for yourself. this movie reminds me of when I was a kid playing with Legos with my brother and having a blast. this movie is so great I think it should get at least one Oscar if not already. no wonder why the ratings on this site was great. I like the cast its a great one especially for a kids movie I guess what you might call it. would I buy this film yes. I saw it with my dad and him and I were laughing and enjoying every part of it. go check this out because its one of those movie you cant miss.","
            9/10
            "
"questl-18592","12 December 2019","This movie is such a home run to me and such a surprise at the same time. A whole movie. About LEGO. Who would have thought that it would amount to anything. Yet, thanks to Lord & Miller, what we get is a gorgeously animated, brilliantly written and hilariously voiced movie that is both absurd and smart, comical and heartwarming.There is a moment, a single moment near the end that is a little... Tricky. The kind of thing that strains the reality of the world we're in. Still that's so minor that it doesn't hurt the overall experience.This is 100% a recommend for children and adults alike.","
            7/10
            "
"goktug11","10 February 2014","Went to see it with my brother. With the age difference between us we both loved the movie for different reasons. For me it was superb. It's amazing to see how lego people in a world made by lego, live and interact with each other. There were some funny moments for kids and even some moments for adults too. Overall it is a very enjoyable movie and it is sure to remind you of your childhood. I recommend it to anyone who has ever played with any form of lego whatsoever. You'd be surprised to see how relevant this movie will feel. I think all people from all ages can find something in this movie that will warm their heart. A timeless classic for sure.","
            8/10
            "
"Cinema-reviewer321","9 July 2022","The Lego Movie (2014) is a wonderful time and fun to watch. Having built Lego sets with instructions and enjoyed building things with Lego bricks that are not part of a set, I loved The Lego Movie (2014) as a movie that knows what Legos are and how people can build with them.Chris Pratt, Elizabeth Banks, Morgan Freeman, Will Ferrell, and Liam Neeson were all fantastic. The Lego characters they play have their own personalities and are funny throughout.I love how the animation looks like it is in stop-motion animation, but it is using CG that blends well with the Lego backgrounds. The effects on the Lego animation makes it look real and I like how the Lego characters would interact with real life objects.I love the world building with many different Lego landscapes like Middle Zealand or made-up locations like Cloud Cuckoo Land. The movie is creative in how they build with the Lego bricks and the fast-paced animation when building things.I will not spoil the ending, but I thought the twist fits what the movie sets up and how they reveal it is clever. The Lego Movie (2014) is fun, and I recommend giving it a watch if you love building with Legos or if you like the idea of the movie.","
            3/10
            "
"pawanpunjabithewriter","19 April 2022","It is a movie made up of blocks, making youngsters, adults watch cartoon like 1 year old.Is there any need of this movie or story or message or blocks to come into existence? Is there any need of Chris Pratt, Charlie Day, Will Ferrell, Liam Neeson, Samuel Jackson to come together for a movie like this? Definitely, not. It is the stupidest story with timely ignorant laughs.","
            8/10
            "
"braddugg","17 August 2014","A fun film that made me a kid. Of course, I am already a proud kid.Never since TOY STORY 3, I had so much fun in an animated film. Also, this film made me nostalgic as I used play with Lego toys when I was a kid. So there are some personal things that are attached with this film, and indeed they drove me to the film more than the trailer of the film itself.The film is a simple, the premise that an ordinary guy can become a hero, only if he believes in himself is well presented. It's not a film that has epic conflict or great story. But it's charm lies in the writing, the wit that is inevitably laughable. Most were laughing out loud in the theater, from my 4 year nephew to a 70 year grand uncle. The animation is surely top notch, we have to consider that making a 3D film with real toys is really challenging, and that's where the animation industry in Hollywood must be praised for. Their quality of animation just keeps getting higher and higher and it's so wonderful for the cinema world over. The music plays a vital role is conveying that indeed ""everything is awesome"". Also, the well choreographed events and the detailing of the animation is great. It's all colorful and pleasing to the eyes and the 3D technology gets due justification in a few scenes too. I am going with 4/5 and would love to catch it again at the theaters with more kids around, I loved it and hopefully if you ever see it, the kid in you is revealed or you are helped a great deal by your own kids.","
            8/10
            "
"auuwws","12 February 2022","Very funny movie, I enjoy watching the movie so much, The main character was so funny and I love him so much, I batman in the movie, The references in the movie were so funny, Lucy in the first was annoying but in the last, she became butter character, The story in the movie was not good, I recommend watching it, My rating is 7,5/10.","
            9/10
            "
"saphira-28454","16 June 2018","A lot of movies can learn from this. It's smart, it's funny, it's surprising, it's emotional at times and the animation is original (characters move and look like actual lego pieces). It has a vision about being special that I don't often see and not only about that. I loved the villain's weapon and the McGuffin, I loved and understood all the characters (especially Unikitty), I loved the jokes. Half of the twists are unexpected while having a story easy to follow.
I can't give it a 10 though because it has a boring scene towards the end. It's not long, but it can make the perspective about the entire film confusing. Also the movie didn't took great risks, it's a pretty standard story, even with the twists and parts of originality.
Definetly worth a watch and still a very good movie despite my nitpicking.","
            10/10
            "
"ahan-234","7 February 2014","This is my first review. I never wrote a review because I felt other IMDb member had captured what I felt like saying. You may think it's a mistake to see this movie because it's just a ""toy"" movie. But that's what makes it so brilliant. There are so many well known characters throughout the film, and it's rare to see such great character development.Even though there are so many it's really the charming Emmet (Chris Pratt) who steals the show. It really was a LOT better than the previews made it seem. Charming from beginning to end, with a few surprises you won't expect. The less said, the better.","
            10/10
            "
"Fred_Mopkopf","20 August 2018","Basically everything about this movie has has been said in the other reviews, so I'll confine mine to two points: 1) The realization that this movie is so good BECAUSE it can be mistaken as one big LEGO advert was a fascinating one to me. They found one extremely satisfying way to make ""the"" LEGO movie and tell a beautiful story (watch until the end!). Had they done something like ""G.I. Joe"", ""Battleship"" or the likes, they would have failed. 2) The way they're using LEGO bricks for EVERYTHING, including and not limited to fire, water, foam, smoke, explosions, laser beams, LED bargraphs, clouds, force fields, motion blur (!) and more, is just mind-boggling and alone warrants watching the film. Everything is awesome!","
            9/10
            "
"doomedmac","21 December 2019","I freaking love this movie. The script is one of the most clever, funny, and sharp I've ever heard. The animation and voice-acting are great.This movie feels like an instant classic, and is one of my all-time favorite animated movies.","
            9/10
            "
"Macleanie","18 June 2019","A fantastic animation with a wonderful touch. There have been some incredible family movies over the years and more recently disneys 'Frozen' however going into this with low expectations, they were blown out of the water. What a great movie for everyone to enjoy, its high tempo for the whole thing with a clever and imaginative storyline. After finding success in the gaming industry recently the LEGO has reinvented itself with this movie. Its colourful, funny and more importantly...creative. Do not make the mistake in putting this one down before you see it.","
            10/10
            "
"jackfull","1 October 2018","Now, I know this film has its annoying spots and very child oriented areas, but when it comes to Lego films of the past, this film is leagues ahead. Lego films in the past either weren't professionally made, or when they were made, the Lego bricks themselves would behave and act in ways that they can't in real life due to their physical mechanics. In past films, mini fig's would move in ways that would bend and melt the plastic, or have human like faces that would scare the crap out of you. Also bricks and mini fig's would be combined with real life environments. So for example you'd have Lego Anakin Skywalker and Obi-wan Kenobi in a cantina, but the cantina looks like it does in the film, not done in Lego. In The Lego Movie however, you can look at just about any scene or area, and you can create that with Lego in real life. For the most part as well, the physical mechancis of Lego are respected in this film too. In addition to the life like movement, with how good the animation was, your first time watching this film you have to ask yourself if its animated or actual stop motion. The animation is THAT detailed. As you go through and watch it, you'll find subtle things like fingerprints or scratches on mini figs, printing on bricks, even mold numbers on certain pieces. This attention to detail is what makes the Lego movie the Lego movie that everyone has wanted for so long.","
            8/10
            "
"SnoopyStyle","3 October 2014","Lord Business takes the powerful Kragle from Vitruvius. However there is a prophecy that the Piece of Resistance will be used by A Special One to defeat the Kragle. It's then 8 1/2 years later. Emmet Brickowoski is a non-special construction guy who only follows instructions. Lord Business is now the President who is planning Taco Tuesday. Wyldstyle is searching for relics and Emmet get stuck with one on his back. She rescues him thinking that he is the Special One.Emmet and Wildstyle are fine but the movie really gets fun when Batman and the rest join the movie. Unikitty is hilarious. Superman and Green Lantern are a great comedy duo. The only small minor complaint is that the visual style is very ADD. The Lego part of the movie could have some more scenes without movement. Sometimes the frenetic visual overwhelms the movie and the jokes. Slowing down some sections could improve the joke retention. It's a small problem. The movie is just good fun.","
            7/10
            "
"gavin6942","17 November 2014","An ordinary Lego construction worker (Chris Pratt), thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant (Will Farrell) from gluing the Lego universe into eternal stasis.As much as I dislike posting reviews with spoilers, this will have to be one in order to justify my lower rating. For the most part, until 66% or maybe even 75% of the movie, I really thought this was one of the best animated features I had ever seen. It looks great, the story is good (even if the message is a bit lame and blunt), and there are some genuinely funny moments with old characters in new situations (Lando and Batman, for example).But here is where they lost me: the introduction of human, live action characters. When the already obvious message of being against conformity and growing up suddenly gets even more obvious by showing the interaction of father and son, it loses me. Why do we have to go there? And why do we have to have the Lego universe exist in a kid's imagination and not some real place?","
            10/10
            "
"john-917-779947","6 February 2014","This film has great animation and a great story, it has an all star voice cast example Morgan freeman and will Ferrell. This film will be up on the shelve as one of the greatest films ever animated, ever thought about and ever written. When I was a kid playing with Lego I never thought to my self that they will make a film on it now that they have all my Christmases have come at once. Cant wait for the special features on blue ray. This movie will be up there with toy story 1 2 and 3 , the lion king , frozen and wreck it Ralph. The power of good films are in Lego hands people are genius congrats to all the Oscars for the road ahead","
            10/10
            "
"Quinoa1984","28 April 2014","A They Live for our times, but also with parts (or, ahem, 'blocks') of The Matrix, Kung-fu Panda, 1984 and every conceivable franchise that you and your kid would want to see in a LEGO movie. Innovative animation mixing stop-motion and CGI (where it stops and starts I don't know, that's the charm and wonder of the technique, like Robot Chicken if it had a budget, which one of the guys who does the show worked on the film so that makes sense), and almost non-stop comedy - even when it's not all huge laugh-out-loud laughs, there's endless cleverness but always with a goofy wink and slapstick. It's the Looney Tunes for our times. The ending isn't perfect - the message of everyone being ""special"" I think gets muddled with ""everyone be creative"", which aren't the same things though the directors try for both ways. But that's a nit-pick really; this is on the level of popular-innovative entertainment as Toy Story.","
            10/10
            "
