"jprUsernames","jprReviewer_Date","jprReviewer_Content","jprRating"
"Dragoneyed363","4 May 2008","I first saw this back when I was little. If I remember correctly, it was also a big thing when it came out. I even had a backpack with a Velociraptor head sticking out of it for school. It was such an amazing achievement as a movie itself and the film is so wonderfully done that there's no doubt of why it has held up as long as it has and will remain the best dinosaur film ever created.The dinosaurs in this film look more realistic than any other prehistoric film, or even most movies today that try to pass off crappy CGI has reality. The acting was spectacular, and aside from how wonderful the creatures look and how vicious and exciting they were like no other dinosaur film had had them before, the plot and characters were solid and incredibly entertaining where you didn't think they would be so amusing. I will have to say again that one really huge reason why most people loved this movie was because of the special effects, but here again, isn't that an accomplishment in itself? Having your audience enjoy the film because of how realistic and fresh you are able to make it feel and look? I have never seen another movie with better effects than this one, ever. I am sure none of these horrible effects dinosaur movies that have been coming out lately could ever live up to the greatness of Jurassic Park.I am always going to love Jurassic Park for it's witty, unbelievable maneuvers and incredible screenplay though, as well. It was so properly thought out and executed, where most might have been expecting it to be nothing but high levels of adrenaline rushes with brainless action, which there was pulsating action, it just certainly wasn't as mindless. Many who dislike Jurassic Park really just have all the same reasons the average movie-goer would have for disliking a film, yet I haven't heard anyone fully describe and explain, well, what they truly thought were faults with this film, which gives me reason to believe that Jurassic Park is a masterpiece, for I, myself, have no faults with this film, except that I have seen other films that I enjoyed more. . . just a little more.","
            10/10
            "
"PedroPires90","7 June 2022","This film alone justifies the entire existence of cinema. Magical.Spielberg is alive and directing. John Williams is alive. I only ask a single thing: just one more creature blockbuster. Please.","
            10/10
            "
"mark.waltz","30 April 2016","When man messes with the secrets of nature, they are going to live to regret it, that is if they live to see it. ""Think of it as a big cow"", scientist Sam Neill tells the kids he's trapped in the jungle when a herbivore visits the tree they are sleeping in a tree that the friendly dinosaur grabs a ton of leaves from to make a huge salad. But even big herbivores can crush a small human with their gigantic feet, and then there are the carnivores which come in all sizes, and even a small one can devour a full grown man in a matter of minutes, bones and all.If the shark of ""Jaws"" was frightening, the T-Rex and other species recreated at Richard Attenborough's mysterious island compound that he has set up as a possible amusement park. But there is no amusement when every species of meat eaters go after human prey.Impressive and cinematic, this was a huge blockbuster that came the same year as the film that won Steven Spielberg his very first Oscar, ""Schindler's List"", and it is a total contrast from that now classic drama about surviving the worst real event in modern history. ""Jurassic Park"" is about survival, too, and one that we pray never comes true with human involvement.Between Neill and Laura Dern, Jeff Goldblum and Attenborough, this is pretty star-studded. The kids get grating at times, but the mixture of tense action and humor makes for a thrilling film. Once again, composer John Williams creates a classic score, adding to the many he's already done for a Spielberg film.For me, this is a reminder why science needs to keep its corrupt fingers off of the mysteries of nature. Dinosaurs are fascinating, but there is a reason why civilization has thrived while they became extinct. I look at this as just one possibility of how they lived, how they looked, and possibly how they interacted with whatever human beings looked like when these not always friendly giants roamed the earth.","
            10/10
            "
"estebangonzalez10","9 June 2015","""God creates dinosaurs. God destroys dinosaurs. God creates man. Man destroys God. Man creates dinosaurs.""Since we're only a couple of days away from the premiere of Jurassic World I wanted to share some thoughts on one of my all time favorite movie going experiences (perhaps my favorite). I was only 12 years old when Steven Spielberg released Jurassic Park in 1993 and from the second the movie started I was at the edge of my seat. From the breathtaking and groundbreaking visuals, to the outstanding cast, and the magnificent score everything about Jurassic Park made me fall in love with it. The dinosaurs had come to life before my very eyes, and Spielberg masterfully wrote a thrilling script that had me sweating for two full hours. I can never forget the thrills I felt during the T-rex scene and that final climax with the velociraptors in the museum's kitchen. I remember thinking there was no one cooler than Sam Neill's Alan Grant and I wanted to be Tim Murphy (played brilliantly by Joseph Mazzello). The rest of the cast was also amazing: Laura Dern, Jeff Goldblum, Richard Attenborough, Ariana Richards, Bob Peck, and Samuel L. Jackson. Many will consider Jaws as Steven Spielberg's most terrifying film, but for me it was Jurassic Park because I got to experience it on the big screen and it was my first memorable experience at a theater. I had seen many other films that had made an impact on me prior to this (Star Wars, The Goonies, Raiders of the Lost Arc, and E.T.) but none in a theater, so Jurassic Park holds that nostalgic value and it will forever remain one of my favorite films. It also became the first film I went to see again at a theater because I couldn't get enough of this world. There are so many quotable lines from this movie and many memorable scenes, and I realize it is going to be impossible for Jurassic World to live up to that standard but I am still highly anticipating it while I relive some of my childhood memories with Jurassic Park. It's a masterpiece.","
            9/10
            "
"Rob Paul","9 July 1999","It's hard to believe that it's 6 years since this film appeared at the cinemas. At the time it was a truly ground-breaking film, managing for the first time to portray dinosaurs in an extremely realistic manner, unlike those plasticine monsters that we were forced to watch in previous monster movies. Jurassic Park will also be remembered as the movie that finally made George Lucas sit up and realise that it was possible for him to make his prequels.In hindsight, while it is still an extremely well directed and tension filled movie, the script did seemed dumbed down in order to appeal to as many people as possible - but that's really irrelevant since this film is all about dinosaurs. One of Spielberg's brilliantly directed films, it even managed to make me forget Spielberg's previous disaster of a movie - do you recall HOOK?8/10.","
            10/10
            "
"Go_rated_R","16 August 2001","I don't know why I loved this movie so much.  Maybe it was the utter amazement when I first saw the Brachiosaurus eat from a tree.  Or maybe it was my adrenaline rushing when two 12 year old were attacked by velociraptors.  It might possibly be the chills that went down my spine when the T-Rex first made his terrifying roar.  Whatever it was, it made me write this review.Allan Grant (Sam Neil) and Ellie (Laura Dern) are two successful paleontologists who are asked by a rich man John Hammond to come at his park for a major tour.  They agree and are taken to an island where ""Jurassic Park"" logos are everywhere.  The two paleontologists have no idea what they are getting themselves into.  The first dinosaur to make an apearance is the Brachiosaurus, which both of them are extrememly amazed by its giant apearance, and so is the audience.  What the two of them don't know is that there are much more terrifying and carnivorous dinosaurs who are about to escape and run loose....Directed by the mighty Steven Speilberg, Jurassic Park relied on more character development than any other creature-feature.  Usually you get second-rate actors who can't act, getting terrified by monsters that don't really exist.  Jurassic Park was the opposite.  It changed the way we looked at the world, and it will forever.  Based on the novel by Micheal Crichton, Jurassic Park was an amazing movie.From beginning to end, Jurassic Park bedazzled us with dinosaurs.  Dinosaurs that are EXTINCT.  There are a lot of cool cameos and the stars give great performances.  The whole family should watch this movie.  Not for the glossy title, but because of the dinosaurs.  I remember being a kid when I first watched it, and I remember loving this movie so bad.  The climax was excellent, and I am not saying what happens, unlike the sequel to this film (Jurassic Park 3).  A climax-less bad film, that was.  But this....this was magic.  And yes, it was a masterpiece.The magic of this film is what brought me into dinosaurs, too.  I had a ""Jurassic Park"" marathon today and I watched this movie, and I can still feel the magic.  You will feel the magic too once you see it.  I just have absolutely nothing to say except that Steven Speilberg will put a spell on you.  Even if you don't like creature-features, this movie will entertain you.  Steven Speilberg will take you to places that no one else ever will. And the ""life will find a way"" speech is here, ready to make someone feel that creating dinosaurs that have been extinct for millions of years is a good thing.Absolutely needless to say, Jurassic Park was a golden diamond.10/10 (One of the greatest films ever made)","
            10/10
            "
"sophiebrooks-75145","28 September 2018","This movie is definitely one to remember. Despite being filmed in the 90s, Jurassic Park continues to be a classic to this day. 
Watching the movie now highlights the contrast between the effects then and the special effects available now. This, along with some acting that is a tad overdone, are the only real critiques I would give this film. 
The child actors were especially hilarious to me-the young boy, Timmy, has moments that really capture a reaction that a child in real life would have (""I threw up."" ""Well that's ok! That happens sometimes""-Allen-is one of my favorite quotes). 
Another extremely influential aspect of this film is the music that plays over certain intense scenes and the iconic theme music in the opening/closing. The music combined with the diegetic sound of the dinosaur stomping/approaching builds the suspense and creates an intense tension in the audience. 
As a classic worldwide, it's no wonder that this movie provided the basis for generations of movies to follow.","
            9/10
            "
"Jonathon_Natsis","1 April 2013","Perhaps more so than any other director in film history, Steven Spielberg has locked into that most desirable niche of movie-making: pleasing everyone at the same time. When his spectacular action-adventure Jurassic Park was first released in 1993, he left critics, film buffs, casual viewers, parents and children equally spellbound. Twenty years later, the film has been re-released in both 3D and IMAX, allowing a new generation to experience the magic, and old fans the chance to relive it again.Eccentric millionaire John Hammond (Richard Attenborough) has created the ultimate theme park on a secluded island, and he wants to offer a sneak preview to a select group of individuals (Sam Neill, Jeff Goldblum and Laura Dern). Of course, the prehistoric attractions don't much appreciate being detained for the amusement of others, and begin to cause havoc as soon as they take the opportunity to escape from their enclosures. An extremely imaginative plot adapted from Michael Crichton's novel of the same name, it sets the foundation for a rip-roaring battle for survival.For many viewers that first saw Jurassic Park as pre-teens, the greatest thrill will come from appreciating, to a greater degree, the way the film deftly builds suspense. Cleverly building up to the revelation of the 'meatasauruses' by stunning us with the visual treat of cuddly herbivores, when we do finally meet the imposing Tyrannosaurus, it is one of cinema's most exhilarating set pieces, only to be topped some time later by the thrilling cat-and-mouse game in the kitchen.It is a testament to the incredible skill of the animatronics and visual effects team that the film's most dated quality is the occasionally cheesy dialogue that burdens Lex and little brother Tim. The dinosaurs are clearly the main event, but the undercard of Jurassic Park spares no expense, with touches of class including Dr. Grant's personal evolution from a child apathist to a fully-fledged family man and a miasma of Shelley-esque criticisms of man's innate desire to play god while drunk on the illusion of total control.To call this the movie event of the year would be to make the grossest of understatements. Experiencing this glorious monument to total escapism on the world's biggest cinema screen is simply mandatory for anyone was has ever felt goosebumps in a theater. Bring your kids- they'll never forget it.*There's nothing I love more than a bit of feedback, good or bad. So drop me a line on jnatsis@iprimus.com.au and let me know what you thought of my review. If you're looking for a writer for your movie website or other publication, I'd also love to hear from you.*","
            10/10
            "
"Criticman12","26 January 2011","Steven Spielberg is known for making great movies like, ""E.T."" and ""Schindler's List"". But on June 11 1993. He released my favorite movie, ""Jurassic Park"".What make's this movie great is the special effects. They really brought the Dinosaurs to life. It also had some nice suspenseful scene's. Also, the acting was good. Sam Neil does a nice job as Alan Grant and Richard Attenborough does a great job as John Hammond. Plus, the theme song was incredible. Sometimes when you listen to it, it feel's like you're going to cry.In the end, ""Jurassic Park"", is a great film and it is definitely worth watching.","
            10/10
            "
"bkoganbing","26 July 2016","As a kid I so well remember my younger brother and those dinosaur toys he had as a kid. We've seen dinosaurs in film before going back to the silent version of The Lost World. But they were never better shown than when Steven Spielberg made Jurassic Park out of Michael Crichton's novel. These put other screen dinosaurs to shame.Through some cloning billionaire Richard Attenborough has succeeded in recreating those long dead creatures of the past and now has a theme park, Jurassic Park. All the herbivores and the carnivores of the past are now alive. But when you come right down to it, Attenborough has just become another Dr. Frankenstein. Some things dead should stay dead.At least that's what scientists Sam Neill and Jeff Goldblum try to tell him. And I have to admit Attenborough does have state of the art security. But he has a greedy employee in Wayne Knight who has made a secret deal with some rival tycoon. His greed brings the whole operation to disaster as dinosaurs start running amuck.The tyrannosaurus rexes and the raptors are what captured the imagination of the public when Jurassic Park was reached. Up to that time dinosaurs when they were on screen were slow moving behemoths. Spielberg's dinosaurs have some speed to them, far more like what they were in the Jurassic Age.I have to say I loved Wayne Knight's performance in Jurassic Park. He's such a loathsome creep, but also a real putz. The end he meets is truly just.Jurassic Park and its successors and imitators have brought about a renewed interest in paleontology. That's always healthy in any society, an interest in the sciences.My brother Daniel loved this film when it came out. As will you.","
            10/10
            "
"xiaoli7377","27 June 2022","Up there with""Jaws"", ""E. T."", and ""Raiders of the Lost Ark"" as one of the quintessential Spielberg popcorn flicks. Although I doubt there are people who've yet to watch it or at who are least familiar with its effect on pop culture, ""Jurassic Park"" is one of those movies that completely captivates and hits the nail on the head in every sequence. Unlike its myriad of sequels and spin-offs, what Spielberg does with the original is craft a Hitchcock-esque thriller that happens to have great special effects that hold up nearly thirty years later. Even sequences that would be mundane in most other action movies, like a Ford Explorer sliding down a tree and chasing the main characters, is exciting. I give a lot of this credit to the original score by John Williams.Excellent performances by Sam Neill, Laura Dern, Jeff Goldblum. Samuel L. Jackson also makes an early career performance here and it's awesome to see as well.It's an essential movie, one that all movie fans ought to watch at some point.","
            9/10
            "
"bevo-13678","31 March 2020","I like the bit with the dinosaurs. I hope they don't get out. Whoops. I'm sure it won't happen again","
            10/10
            "
"Moviedude90","12 June 2022","I don't write reviews on here often, just for the times when you HAVE to stop the movie to jump on IMDB and give the review while it's piping hot fresh in my mind...There are 2 movies that really seem like there were time-travelers from 50 years ahead that came back to the 90's to give two movies that are so beyond their times from an effects standpoint that they below in their own cinematic categories all together: Jurassic Park and the Matrix, the former for animatronics mastery, and the latter for its 360 camera and CGI integration. In my opinion, these 2 films are major turning points in cinema.Just try and look at other movies in 1993 and 1999 for their graphics, for either the use of animatronics or CGI. Think of this, The Lion King came out a year AFTER Jurassic Park and was billed as cutting edge because they used computers throughout the animation. Seriously, name ONE movie in the last 28 years that came even close to looking and feeling as realistic as Jurassic Park? Name just one...I'll wait...Even compare all the Godzilla remakes they spend crazy money on and tell me that CGI looks more realistic than Jurassic Park animatronics, and I'll call you a liar. The same appliesThe second part of this conversation I'll leave for a Matrix review board, this is a tribute to animatronics, Jurassic Park, and Spielberg in the early 90's 🍻Ok, now back to the second half of the show! 🍿","
            10/10
            "
"BA_Harrison","15 November 2008","I was raised on a diet of dinosaur and monster films, and so when Steven Spielberg gave us Jurassic Park in 1993 promising unbelievably lifelike prehistoric reptiles, I was at the head of the queue (metaphorically speaking of course, since I pre-booked my tickets!!). Needless to say, Steve's amazing big screen version of the Michael Crichton bestseller not only delivered on the promises, making the film a deservedly huge box-office success, but it also redefined special effects for years to come.Sam Neill, Laura Dern and Jeff Goldblum play three scientists who are invited to a multi-million dollar theme park featuring cloned dinosaurs, which the owner (good old Dickie Attenborough) hopes the trio of boffins will endorse. However, when one disloyal employee sabotages the park's computer system in order to try and steal valuable embryos for a competitor, the guests get to see the exhibits extremely close-up, and must fight for survival against the mighty T-Rex and a pack of intelligent and voracious Velociraptors.The film's plot is a somewhat stripped-down version of the book, and the narrative suffers occasionally for the lack of detail, but with Spielberg at the helm, the result is still a juggernaut of an action film that provides enough thrills, spills and adventure to make it unmissable for fans of creature features. The director manages to pull off some spectacular shots that are amongst the most memorable of his career (such as the simple yet iconic 'water-ripples' as the T-Rex approaches), and with the industry's top FX wizards at his disposal (including ace animatronics expert Stan Winston), he has made a film that still looks amazing a decade and a half later.The best of the trilogy (although part IV is currently in the pipeline, so we shall have to wait and see what happens with that one), Jurassic Park is an excellent piece of cinematic escapism, and way better than anything Spielberg has given us in recent years (I'm still reeling from the latest Indy film and the debacle that was War of the Worlds).","
            10/10
            "
