"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"eva3si0n","8 January 2021","Shuttle Island is a great thriller with a strong cast. It may seem that DiCaprio 's acting obscures everything else, so cool he plays. And the climax of the film completely turns it 180 degrees, now there are not many films that manage this moment.","
            10/10
            "
"tbmforclasstsar","14 February 2010","From the first note of the score, to the last shot on the screen I was completely enthralled by Martin Scorsese's latest Picture. Shutter Island, the story of two federal marshals investigating a patient escape at a maximum security hospital for the criminally insane, is very simply put: an experience. Shutter Island works because it pulls at all different emotions. An audience is both humored, and on the edge of tears; jumping out of their seat, and sinking deep within it. For 2 hours and 18 minutes, one is completely submerged into a Gothic, noir like world that is intriguing and horrifying at the same time. Shutter Island is definitely under the genre of thriller, but it is much more than just this. Sir Kingsley said it beautifully the next day at a press conference I attended: ""Though it looks like a thriller, the glue that holds it together is varying levels of tenderness."" The characters are enthralling and real, whether it be the protagonist, Teddy (DiCaprio) or Dr. Cawley, the head psychiatrist of the asylum (Sir Kingsley). From the opening shot to the final scene, the audience is left guessing to the mysteries of this island and its patients, being thrown into a world that is extremely claustrophobic without being tightly spaced. This feeling, and the success of the island's atmosphere, can be credited in many ways to the film's iconic director, Martin Scorsese. Fresh off his first Oscar ever for Best Director in The Departed, Scorsese takes things to a different gear in Shutter Island. While The Departed was a modern day mob thriller, Shutter Island is set in the 1950's, post WWII and at the start of the Cold War and McCarthyism Era. Paranoia is at an all-time high, many people are on edge, and this story is not only set during this time period, but on a secluded, Gothic island with only one way to leave and at the start of a terrible hurricane. If that doesn't excite an audience, it should simply be Scorsese's style. The film is full of flashbacks and haunting dream sequences that range in location from the island itself to the concentration camp at Dachau. The audience is constantly trapped in a world where one questions what is reality and what is dream. This is already interesting on paper, as seen in the critic's praise of Dennis Lehane's novel which the film is adapted from, but Scorsese absolutely blows the audience out of the water with the visuals; frightening images of pain and anguish, terrifying fears and paranoia, and jarring cuts and sequences that leave the viewer as haunted as the characters themselves. Scorsese truly rolls up his sleeves and produces a powerfully intense film that shakes the viewer until the very end.Aside from the amazing direction, the acting performances in this film were quite moving as well. Dicaprio, Mark Ruffalo, Sir Ben Kingsley, Michelle Williams, and Emily Mortimer were brilliant in their roles and (with the help of a masterful director's skill) took Shutter Island to a terrifyingly beautiful place that keeps us wanting more and more. From every beautiful crane shot, to each close up, Shutter Island is the latest tour de force in an already astonishing resume for Martin Scorsese. No one ever escapes Shutter Island unscathed, but if you can handle its pure power, it truly is a fantastic cinematic experience.","
            5/10
            "
"ElMaruecan82","14 October 2011","Guess who praised Martin Scorsese's ""Shutter Island""? Roger Ebert! The cinematography, the spooky atmosphere, the film noir's overtones, the whole psychological torment, the ""buried trauma"" to quote him, as so many voices speaking in favor of ""Shutter Island"", another great achievement from the greatest director of his generation.Marty might be the greatest as the most consistent director of the New Hollywood generation but I hate how 'great Marty film' started working like a pleonasm, as to underline a tacit rule that any movie made by a great film-maker automatically deserves the benefit of the doubt, in other words: if you hate it, you didn't get it. I'm sorry again, but the director who committed this cinematic piece of unoriginality is not the passionate artist who enriched cinema with so many masterpieces, like ""Mean Streets"", ""Raging Bull"", ""Goodfellas"" and such delightful little gems like ""The King of Comedy"" or ""After Hours"". I'm sorry but Marty didn't gain in maturity, not even in craftsmanship, he purely and simply  lost his touch.I have the biggest respect for Scorsese, and also for Ebert, and the reason I mentioned the latter is because he's certainly Scorsese's number one fan, but he's also one of these privileged persons who've seen so many movies in his life that he would be the least likely to get so easily impressed by a film, that blatantly exploits every single cinematic cliché, considering the story's material. The movie is so 'obvious' that it would be tragic if it wasn't so laughable. And it's obvious because it works on that reverse effect, as movie fans, we know that whatever seems obvious in the first act will probably be contradicted. True BUT whatever seems obvious is exactly the opposite of what is shown during that very first act, because we know we're being tricked by the director. In that case, it's like Scorsese was the 'sprinkled sprinkler', and Ebert's implicit denial of the script obviousness says a lot about his recurrent loss of subjectivity whenever it concerns Scorsese.I don't want to number all the clichés: the two detectives investigating, the entrance in the island with a haunting atmosphere emphasized by an ominous music, begging you to be scared, or impressed, a weird feeling of unrealism in some backgrounds that made me question what the artistic approach was, let's just call it 'homage' to old-school cinema, this one never gets old. But I wouldn't have expected this emphasis on the tone, screaming ""Beware  danger"" not even from old-school directors, and certainly not from Hitchchock. Okay, we got the idea that something will go wrong; it doesn't even trust our patience as Di Caprio acts weirdly from the very first scenes. I was pleased by Ben Kingley's performance as the charming head doctor, but it's getting old since Nurse Ratched and I didn't mention Fritz Lang, because there are less risks that he might be known by the targeted audience.And I'm not even implying that the movie is not worth watching, but it plays like an overlong build-up for a weak climax, a build-up, during which nothing very pleasing happens. And I mean 'pleasing' in the pleasing meaning of the word, seriously. What happened to Marty's sense of entertainment? Why such a constant need to be dark, Gothic and gloomy? Is that Cinema's new emotional trend? Are we supposed to endure this atmosphere during the whole picture? Can't we have a break? a distracting element, not necessarily a comic relief, but I don't know, a subplot, an interesting character, even Hitchcock did itno, again, the time-filler relied on the guilty trauma, the good old theme so cherished by Marty, and that provides the best alibis to rationalize his films. And we discover his wife played by a beautiful Michelle Thomas, and some horrific flashbacks featuring the Nazi's atrocities, always a good taste to combine the supernatural horror with the real one, that's what the movie needed in case we thought we would cheer up at the end. Or was he just surfing on an opportunistic wave introduced by Tarantino's ""Inglourious Basterds""? The weaknesses of the plot canceled out all the cinematographic attempts to justify the movie's cinematic merit. Nothing special happens, nothing really happens, and again, it's so damn hard to feel sympathetic toward Leonardo Di Caprio! Yes, I have a big problem with Di Caprio in Scorsese's film, because of that same constipated face he has to display, to remind us that he's playing a tough guy. Did Bogart look tough? Di Caprio is a good actor, even great sometimes, but this is becoming one of his most annoying trademarks. I miss the young, lively Di Caprio with sparkling eyes and youthful look, because tough he isn't, and he doesn't fool anyone, and this is probably why the only Marty's movie I thought he delivered a great and flamboyant performance was ""The Aviator"". The first thing I see in a Di Caprio film now, is the poster, tough-guy-constipated-face? I avoid.An indigestible film with a risible attempt to scare us, I will stop here because I'm tired of being so critical about the director whom I praised most of his work from the 70's to the 90's. But he just doesn't do justice to his glorious filmography, Scorsese is a man of gripping realism of psychological torture and it doesn't need a supernatural flavor to taste good, it's scarier when real and more than that, Scorsese is a damn entertainer, with a unique talent of storyteller, and not only the story isn't told well, but it's not even a good story, as far as originality is concerned.And when comes the final scene, with the final line, supposed to summarize the whole message of the film and justify the whole build-up, my only reaction was : ""so, we got from that  to that?!"" and this is my exact feeling when I compare between Marty's earlier and later works.","
            5/10
            "
"moonspinner55","15 March 2011","Once director Martin Scorsese attained widespread acceptance from moviegoers (and mainstream critics) with the massive commercial success of ""Cape Fear"" in 1991, he quickly turned into a 'blockbuster' filmmaker, one who had his pick of top-rank collaborators. The Scorsese name became a brand--like Spielberg's--however, the movies he has chosen to work on since do not always echo the interests of the young, raw Scorsese. With ""Shutter Island"", an adaptation of a novel by Dennis Lehane, the stamp of Scorsese becomes interchangeable with that of Shyamalan, De Palma, Polanski...even the ghost of Stanley Kubrick, whose ""The Shining"" seems to be an inspirational starting point for this thin, shuddery yarn. Leonard DiCaprio plays a U. S. Federal Marshal in 1954 investigating the disappearance of a female mental patient from a locked-down asylum in the Boston Harbor. Elements of other films keep turning up in Laeta Kalogridis' poor script, which incorporates (at various intervals) concentration camp detail with a triple homicide that is both exploitative and distasteful. The large cast is solid, for the most part--Scorsese has retained his uncanny ability to bring out the best in his actors--though I'm not sure how deeply DiCaprio is feeling his role. His frequent scowl doesn't reveal anything but a petulant nature, which, coupled with his youthful appearance, doesn't lend much conviction to a character who is alternately a soldier, a family man, and a government employee. DiCaprio is making a career out of seeming miscast; since this entire house-of-cards plot rests on the star's shoulders, the final denouement isn't the heart-breaker it should have been. The picture is vividly atmospheric and features excellent technical detail, yet it is a glum undertaking burdened with overwrought profanities ill-suited to the era. This is what Martin Scorsese wants to bide his time with? ** from ****","
            10/10
            "
"gayan-27516","7 June 2020","Teddy is refusing to accept the fact that he killed his wife after she murdered their children and has become delusional and violent. The role-play was the last effort to force him to accept his crimes or he would be lobotomised. The final moment suggests he has finally understood it but pretends he hasn't, in order to be lobotomised, to avoid living with grief","
            10/10
            "
"AnnaPagrati","30 August 2021","One of the best movies of the century! Loved every little plot twist!","
            1/10
            "
"bababear","20 February 2010","The premise of SHUTTER ISLAND was fresh and original...the first dozen or times it was utilized in a story.MAJOR SPOILERS AHEAD.BE WARNED.The idea that the main character is really a patient at the mental hospital, not a federal marshal investigating a disappearance there, has been done countless times. Very early in the narrative I figured out that the story was being told from inside Teddy's mind and kept waiting for some reason that this much money was being spent and this talented a group of people working so hard to tell this story. There must be some other twist coming that will make this worthwhile.Nope. It just gets worse and worse, and sillier and sillier.This would provide great material for Mystery Science Theater 3000. Tonight people all over the theater were laughing out loud, and not at any points that were supposed to be funny.The screenplay, to be generous, stinks. Fine actors read dialog that is as stilted as can be. The musical score is equally bad, with shuddering, ominous strings underlying scenes and trying valiantly to drown out the awful lines those poor actors were forced to say.Because the story is being told through the eyes of an insane characters, the continuity lapses are understandable. A hurricane blows over the island, causing considerable damage. For whatever reason, though, the storm is selective. Huge trees are uprooted in some places but in other places there is no visible damage at all.In one scene near the end Teddy wakes up to find three supporting characters standing around his bed. It brought to mind the scene at the end of THE WIZARD OF OZ when Dorothy wakes up to find her friends have been watching over her while she sleeps. Did Scorsese not realize the similarity? There was one fascinating mystery that I hoped would be explained but wasn't. Teddy makes his way to a lighthouse and runs up the stairs to find one of the doctors from the mental hospital in a office.OK. It's a lighthouse. There's a spiral staircase running through the middle of it. How in the world did the doctor manage to get a desk, chairs, file cabinet, lamps, etc., three stories up a spiral staircase? And why? I'd ask the same question of Scorsese. You and some brilliant actors made this turd.Why?","
            1/10
            "
"krycek19","12 March 2010","I usually have nothing against being influenced by a movie if it appeals to me and has a good story. Shutter Island did neither for me.The music in the opening scene is trying way too hard to create an eerie feeling that Shutter Island is a place of evil. And the music reminded me of Cape Fear. But Shutter Island is far far from the greatness of Cape Fear which is Scorses all time masterpiece in my opinion. This however is his worst movie.It is not DiCaprio's fault, but the horrible deeply flawed screenplay.* SPOILER AHEAD * I would have liked to have Leo's character not been insane and developed an alternative reality in order to protect himself from the memory of his drowned children and the wife that he shot.If the movie had been about him coming to find a missing patient and expose Ben Kingsley and the other doctors as vicious attackers of patients, then it had perhaps been a good movie.Teddy's memories of WWII is also just boring and have no great importance to the plot. Yes I know that the dead girl in wagons represent his daughter that he could not save. But it's damn uninteresting.The plot does not make much sense either. Leo is really a patient himself on Shutter Island, and to get him to accept his past, all physicians, psychiatrists, prison guards and patients are acting to support his idea of reality. How likely is it that doctors could get criminally insane to help in this way? It would not be feasible. They are all just as crazy as Teddy. If not more.How likely is it that a German doctor could get Teddy to wake up when Teddy, because of his past as a soldier, hates Germans and basically sees him as a Nazi? They offer Teddy alcohol. It would probably just be tea they had given him had he said yes but he would probably have noticed it. And then what would they have done? If the goal is to get Teddy to accept his past and that he is patient, why are the doctors then doing everything they can to act suspicious and untrustworthy? What if Teddy had bolted when he was aboard the ferry with his partner/psychiatrist? It could not have been prevented.How likely is it that the U.S. Marshalls are told to hand over their weapons when they are searching for a missing patient in a prison/institution for the criminally insane?Teddy's gun is a toy gun. How likely is it that Teddy does not until the very end discovers that it is made of plastic, not metal and wood? Especially when he is suppose to be extremely intelligent.On the whole, they let a seemingly very dangerous patient walk freely around the island for several days. They let him blow up a car and knock a guard out. They would never let it come so far in reality.What is the meaning of it all? Why put the whole circus together due to one mental patient? Why feed on his delusions, if the goal is to make him accept his past? Why is he more interesting than all the other patients? Why don't they just talk to him and give him medicine that prevents him to invent an alternative reality? Yes it is 1954 and yes the time they knew not what we know today and yes they would probably give him a lobotomy as it is indicated they will at the end of the movie. But still.There is so much that does not make sense in the movie and when it itself is so cliché-filled, I really can not take it seriously.","
            10/10
            "
"LeoCrow2002","10 April 2010","If Paramount Pictures had released Martin Scorsese's Shutter Island last year – the original release date was October 2nd, 2009 – I would have considered the film the best movie of the year. As it stands, the rest of 2010 has a long way to go in terms of matching the quality and effectiveness of Scorsese's new picture. It's a fascinating character drama, an exciting and almost experimental exploration of the human mind, a reinvention of the horror genre and a dynamic acting showcase for its star, the incredible and still very underrated Leonardo DiCaprio.Shutter Island is also an incredibly appropriate entry in the Scorsese canon – it's a film about an alienated man haunted by his past. Add Teddy Daniels to the list of Scorsese's tragic and multilayered antiheroes – Jake La Motta, Travis Bickle, Henry Hill, Howard Hughes, Billy Costigan, Rupert Pupkin, Jesus Christ. The film also continues Scorsese's fascination with our understanding of violence (it should be noted that our perception of the lead character's violent actions changes dramatically when watching the film for a second time).Shutter Island is eerie from the very beginning. U.S. Marshal Teddy Daniels (DiCaprio) and his newly assigned partner Chuck Aule (Mark Ruffalo) steadily approach an island off the coast of Massachusetts known as Shutter Island, a mental hospital for the criminally insane. The year is 1954, and Scorsese and music supervisor Robbie Robertson subtly incorporate vintage (and sometimes downright disturbing) 1950s music into the sound mix. Once on the island, Daniels and his partner meet with Dr. Cawley (Ben Kingsley), who explains to the Marshals that one of the island's patients has mysteriously disappeared overnight. The investigation that ensues is a fascinating exploration of insanity.Hovering over every scene is a paranoid, post-war anxiety shared explicitly by our protagonist and thoroughly felt and realized by Scorsese. Tensions rise as Teddy recalls horrific memories from liberating a concentration camp during the war, and his suspicions of Nazism and conspiracy by the House of Un-American Activities on the island become our suspicions. The best Scorsese films force the audience to live inside the minds of moderately-to-severely delusional characters weighed down by an enormous and overwhelming guilt. Shutter Island does just that. There is an unease throughout the entire film, deliberate disturbances in continuity that some audiences might mistake for sloppy editing. That's simply Oscar-winning editor Thelma Schoonmaker toying with the audience, making us question the reality we're watching and the reliability of our protagonist. The film is a brilliant melding of film noir, detective mystery and psychological horror, at its very core an exploration of an emotionally disturbed human psyche, disguised as a Hitchcockian thriller that works as both a homage to Scorsese's favorite psychological thrillers from the 1940s and 1950s while simultaneously elevating itself into something larger and more complicated. When you watch Shutter Island, you're not just watching Scorsese's film – you're watching thousands of classic movies at once, assembled together in a picture conceived by a filmmaker whose encyclopedic knowledge of film history pours into every detail of every frame, so much so that an already-genuinely suspenseful scene of DiCaprio racing up a flight of winding stairs simultaneously serves as a homage to Michael Powell and Emeric Pressburger's The Red Shoes (1948).Unfortunately, Shutter Island has come under attack from, as my good friend calls them, the pseudo-intellectual crowd. From what I can gather, the general complaint is that the movie takes itself too seriously dramatically, and that some of the dramatic shifts in the film are laughable. Perhaps this is because Scorsese refuses to compromise his vision by winking at the audience. When discussing The Best Films of the 1990s with Martin Scorsese in early 2000, film critic Roger Ebert notes that at some point in the 1990s, existentialism, ""the idea of what we do with our lives,"" was ""replaced by irony, so that everything has quotation marks around it."" He then adds, however, that Scorsese's ""films are not in quotation marks...they are meant.""And he's absolutely right. Scorsese can't make an ironic film - a film too afraid to deal head- on with real, palpable human emotion, therefore putting the actions of its characters in huge quotation marks. My favorite films of the past few years don't have ironic quotation marks around their characters, either. I don't buy movies that do that – it's a cheap way of pleasing the cynical, highbrow crowd who only accept genuine human emotion in films if it comes from Pixar Animation or a foreign-language film. I love those movies, too, but I haven't given up on serious American films that aim for high character drama and succeed. I'm talking about Clint Eastwood's Mystic River (2003), Scorsese's The Aviator (2004), Ang Lee's Brokeback Mountain (2005) and now, Shutter Island. These are films that take their characters and their plights seriously.Every negative review I've read doesn't seem to consider how effective the film is on a visceral level, how strong and forceful the performances are from top to bottom and the powerful manner in which screenwriter Laeta Kalogridis keeps the story grounded in the deep emotional turmoil of its characters. Shutter Island is a real film, the kind they don't make anymore, exceeding the supposed limitations of its genre and offering its audience something challenging and psychologically fascinating. Scorsese doesn't have to make movies anymore - he's already made more masterpieces than any other living filmmaker - but we're lucky that he's still exploring his obsessions in new and inventive ways. Shutter Island should be met with applause, not simply because the film marks the latest work from our finest living filmmaker, but because it's also the best damn movie you'll see this year.","
            6/10
            "
"ikanboy","27 February 2010","***********************SPOILERS++++++++++++++++++++++++++++++++++ The movie starts off seeming to be a ""creepy"" thriller about the escape of an insane killer from an island fortress, somewhere off the shores of Boston. It's standard stuff for the first 45 minutes or so, with the usual attempt to make the criminally insane look scary. Mood is everything here, but as the movies have been down this path so many times, and as-in my case-I know that the insane are not particularly scary, it's a question of wondering why Scorsese is going down this trite path.When he shifts the plot to a ""conspiracy"" plot it gets even triter. And then it shifts ponderously to a ""fooled you"" ending. The story tries to confuse with it's shifts, but underneath it all it's all sturm and very little drang. When the ultimate plot line is revealed it's a big let down. It's ""spellbound"" rehashed.The big problems for me were that it continues to trot out the usual myths about mental illness; it's symptoms, it's causes, and it's cures.","
            9/10
            "
"Legendary_Badass","19 February 2010","A 1950s ward for the criminally insane isn't a pleasantry for anyone. The terror behind the walls has a mystique to the public. It's as though unspeakable acts of torture can exist within the confines of padded rooms so long as the public never witnesses first hand. The isolation, or in the case of Martin Scorsese's Shutter Island the possibility of it, could be enough to drive you insane.Leonardo DiCaprio stars as U.S. Marshal Teddy Daniels. Having met up with new partner Chuck (Mark Ruffalo), he's on assignment to investigate the disappearance of Rachel (Emily Mortimer) from the secluded mental hospital on Shutter Island. During his visit, Teddy is plagued by vivid recollections of his days as a soldier liberating a Nazi death camp and visions of Delores, his deceased wife (Michelle Williams). These tie in with Teddy's ulterior motives: investigating rumored inhuman experiments and locating his wife's murderer.I didn't read the book; get used to it. I watch movies and I review them on their own merit. I'm not one to bicker about the source material being wronged when I know full well that a book typically contains an unfilmable heap of situations that need to be whittled down into entertainment in a convenient sub-three hour block. I care about the movie, and in the case of Shutter Island I speculate that fans of the book will have a far different experience since they should have a very solid notion of what happens. For me, someone new to the material, Shutter Island is captivating.When it comes to the plot there is a ton that I'd like to discuss, but can't simply because this is a puzzle film and I don't want to ruin it's intricately woven pattern of suspense. I'll say that some elements are very familiar, but that doesn't stop it from being a shocker. Elsewhere I can say that it's a well-crafted film on technical levels. The visions of the dead wife are often complemented with CGI that's used with discretion. Cinematography is strong, showing the colors reminiscent of a similar era prison film, The Shawshank Redemption. Originally I felt that the theatrical score was beating me over the head, but it didn't take long to assist in providing atmosphere. Editing also plays a role as cuts are made in unorthodox fashion, purposely creating misaligned audio, but this pertains mostly to the dream sequences. The cast even excels as each role becomes deeper than speculated. Leo gives another powerful performance now that he's cleared the hurdle of being typecast as ""the kid"".When it comes to the twisted thrillers, I prefer endings to be less blatant. With Shutter Island the longwinded conclusion spells out every last possibility. I'm not looking for something open to interpretation, but requiring more participation. There's still plenty of evidence to spot that you'd want to view it again for the details or chat with friends. As I think more about it, that's what separates the thrillers from the horrors. The thrillers make you think about outcomes, motives, and twists. Shutter Island doesn't tie itself into a knot, but it gets close. That frustration can polarize an audience, but if you've trusted in me this far then you're ahead of the game.NOTE: If you are playing the Shutter Island drinking game, be sure to take a shot each and every time Mark Ruffalo says ""boss"". That's the only rule you'll need.","
            9/10
            "
"kosmasp","9 September 2010","This is a thriller that builds up very slowly. Really slow, so slow, that some people got bored. And got their fangs out for the ending. That's just a matter of taste then. Even the ending is low key and will not be there to satisfy anyone (though it is one clever way to end a movie, which left me with my mouth open).Martin Scorsese might have gone thriller at least once before, with ""Cape Fear"", but this time we really dig into another world. Leonardo DiCaprio pulls out a great performance once again. Even small roles are cast with great actors to really give the whole thing some weight. It's a great psychological thriller ride then.","
            5/10
            "
"MBunge","14 October 2010","With Shutter Island, Martin Scorsese has made the greatest Brian De Palma movie of all time. However as a Scorsese film, Shutter Island is just a bit above average.Teddy Daniels (Leonardo DiCaprio) is a federal marshal in 1954 sent to investigate the escape of a prisoner at an asylum for the criminally insane on an island off the coast of Boston. He's joined by a new parter, Chuck Aule (Mark Ruffalo), who spends most of the movie as one of the most useless sidekicks in cinema history. While investigating, Teddy has to deal with the interference of Dr. Cawley (Ben Kingsley), the head of the asylum, and Dr. Naehring (Max von Sydow), the asylum's chief head shrinker. In addition, Teddy is plagued by memories of his role as a US soldier in the liberation of the Dachau concentration camp and by very involved visions of his dead wife (Michelle Williams), who perished in an arson fire. It turns out that Teddy is looking for the arsonist who set that fire and believes he's somewhere in the asylum. It also turns out that Teddy suspects there's some sort of brainwashing taking place on the island that has something to do with the House Un-American Activities Committee. Then after all of that, there's an elongated twist ending that neither truly succeeds nor truly fails.The modern standard for the twist movie is, of course, The Sixth Sense. That's because if you took the twist completely out of it, it still would have been a great movie with a compelling story that stood on its own. Shutter Island does not live up to that standard. Take the twist out of this film and there's really nothing left.Of course it is well directed and well performed. We are talking about Martin Scorsese and a very talented cast of actors. But the story is jammed full of things that just don't work as the movie unfolds, like the uselessness of Mark Ruffalo's character and an excessively melodramatic soundtrack, which are explained and supposedly redeemed by the swerve at the end. The problem with that is twofold.1. You can see a twist coming a long way away. You might not be able to figure out exactly what it's going to be, but there's enough stuff that either seems forced or doesn't make sense to clue you in that something is going to happen. The story doesn't hold together on its own, so you know there's a missing piece that will eventually be revealed. And once you realize a big revelation is coming, it spoils both the set-up and the payoff.2. A twist can't retroactively make a movie more enjoyable. The clanging off notes in the script that are later justified by the twist, remain clanging off notes while you watch them the first time. It's like the fruit at the bottom of a yogurt cup. No matter how much you enjoy the fruit, you need to be able to enjoy the yogurt you have to eat to get to it. The yogurt of Shutter Island seems overstuffed, contrived and simplistic.Don't get me wrong. Shutter Island isn't a bad film. It's atmospheric, well paced and narratively ambitious. The movie pretty clearly falls short of fulfilling those ambitions, though, leaving you with the impression that it should be much better than it is. Scorsese and company have made a decent film that many viewers would appreciate. That you can't help but expect more than that, really isn't a fair criticism.","
            6/10
            "
"politically_incorrect204","20 February 2010","I hate to say this as much anyone else but for me this film had a horribly disappoint ending. First before I delve into that I'd like to say that the acting, the writing, the shooting, the film in general as far as quality goes was very good. But the ending was very disappointing. And no I am no idiot or newbie when it comes to film. But I thought the was very much a cop out. Now granted I know this is based off of a novel, hence there are certain restraints to adhering to this novel somewhat. That being said I found the idea of the medical experimentation, mental hospital, nazi experiments, and astray patients much more tantalizing, realistic, and more full of potential. The trick ending where its all in someone's head is done far too often sadly. I was hoping that while it dragged one there at the end it would ultimately reveal he was playing them or that he would stay true and not give in. But that didn't happen. I guess for me I was just expecting something not so cliché for an ending from the likes of Scorsese's genius mind. But all things said and done I definitely can't give this movie all negative remarks, wonderfully acted and scripted. Great atmosphere, shooting, photography, etc. But I feel the ending should have been less cliché or not as cheap I guess. Felt like it was just an easy way out and not fully developing the tension and intrigue that they had built throughout. But either way its each to their own, so maybe you will appreciate the ending more than I. FYI - I do understand the undertones of the ending and the ambiguity, but I don't think that saves the ending or does the film justice in it's entirety.","
            1/10
            "
"Michael_Elliott","21 February 2010","Shutter Island (2010) *** 1/2 (out of 4)Martin Scorsese and Leonardo DiCaprio's fourth outing together is a brilliantly made that has two hours of build up to a masterfully handled final twenty-minutes. In the film DiCaprio plays U.S. Marshal Teddy Daniels who with his partner (Mark Ruffalo) travel to Shutter Island, a mental hospital where a female prisoner has escaped. Teddy and his partner try to break through with the main doctor (Ben Kingsley) but he appears to be hiding what may have really happened. Meanwhile, Teddy continues to suffer migraines and bad dreams of his wife (Michelle Williams) who died in a fire shortly before current events. Out of the four pictures and director and star have made together, I'd probably call this one here the weakest even if it might be the best made one they've done. As I said, this movie has two hours worth of a drawn out mystery that has one brilliant touch after another and then we get hit with a chilling, extremely effective and at times disturbing third act that perfectly puts all the pieces together. Best of all is this is the type of movie that will guarantee people to be talking years after its release.The technical side of things make this one of the most beautiful and haunting Scorsese pictures out there, which is saying quite a lot when you consider how many great films he has made. What I really loved the most was his wicked cinematography that perfectly puts you on this island and really captures all the possible evils going on. Even better is the music score that's one of the most haunting in recent memory. It perfectly builds up a nice tension and an overall doom and gloom that hasn't really been matched since the wonderful score in THE SHINING. Speaking of the Kubrick film, I can't help but think it was some sort of influence on Scorsese as the two films don't just try to go after cheap scares but instead they build up a strong story and then give us everything else second. Like the Kubrick film, a lot of this movie takes place during the daylight, which again adds a weird and surreal nature to the film. With that said, there are a lot of scenes in dark hallways and dungeon like cells that really work as well as the art direction and set design are top-notch. Other visuals work as well including an extremely beautiful and haunting sequence when DiCaprio first ""sees"" the ghost of his dead wife and they have a discussion about the missing patient. The performances are also another very strong part with DiCaprio once again showing why he's one of the best and most interesting actors out there working. He gives another strong performance and it's rather amazing to see how much he can do and how much he can deliver whatever is asked. He perfectly fits the violent side of his characters mind but he is also believable during the conclusion of events and how everything plays out. He handles the emotion scenes extremely well as well as some of the lighter ones. Williams is also very refreshing in her scenes in the film, although she doesn't have as much to do. Ruffalo is also very strong and works well with DiCaprio. Veterans Kingsley and Max von Sydow are wonderful as well as Patricia Clarkson, Jackie Earle Haley and Ted Levine. The performances mixed with everything else really makes this a complete film from start to finish. Again, the first two hours are pretty much just building up everything that follows. Perhaps a second viewing would change my opinion on this but I do think a little of this could have been edited out and we wouldn't have missed anything. With that said, one does have to admire the screenplay for getting so many different things in (including a haunting Holocaust sequence) and be able to work them in a way where it all comes through in the end. The ending, which I won't spoil, will have people talking for years and I'm sure many different theories could be made about what happened or didn't happened. To me that's the sign of something special and Scorsese really delivers once again.","
            6/10
            "
"tedg","13 March 2010","Scorcese is an accomplished cinematic mind. There is no question of this. When he dies, we will celebrate the loss of a talent.But his life has been compromised by limits in the depth of his religion of cinema. This has haunted him, and he will not be happy to die until he conquers this.The problem is simple. I'll call it the curse of the character, and link it to Dante, or even Homer. That it dominates much written narrative is purely an accident of war. This is the idea that humans exist as complete, each one of us carrying a universe within us that some of us are able to project and carry around us.If we build stories, then, the stories are about the nature of the worlds attached to characters. The characters can actually be tragic, manipulated by their own world forces, or even uninteresting. But no matter how you slice it, the narrative follows people and the containing world is an annotation, an effect. I believe this is ""Italian"" in film-making and Scorcese was captured by it. Unfortunately for him, the cult of the actor in Hollywood (and associated market forces that support critics) feeds this. So he adopted deNiro and made films that were at least competent. But the camera could only follow bodies.But all the real juice in cinema is in this idea of noir. It has penetrated everywhere to some extent because it matters. The religious cosmology of noir has a world that exists apart from any humans. It pre-exists, has its own laws and dynamics. Being external to the souls of humans who appear, it blows them around and tinkers with those souls.It has the advantage that the film's narrative can entangle the existence of the world with the viewers and their needs. It brings the film to the viewers in a sort of contract, a dialog that cannot be refused. It also allows the camera to exist in a world apart from the characters. Thus, the filmmaker can inform us of the situation. Space matters. Texture, color, light all have their own lives.Scorcese has been bothered by the fact that his films did not do this; could not. Here he was with the craft, the skills, but not the vision. So in one of the most intriguing inner stories in Hollywood, he attempts to escape his own limits.He shifts from deNiro-like actors to deCaprio style. He tries, really hard to discover. His ""Gangs"" was a noble attempt, but a failure because of problems with funders. ""Aviator"" was his first noir success, helped by the influence of Cate (playing Kate). Check out the story, which mirrors Marty's plight. Marvel in that cool scene where the room is filled with strings.The rat movie was a retreat. And now this. It is a pure victory, an personal achievement. Some of us have been rooting for the man in his encounter with himself and are doubly rewarded with this film.There are elements in the story that reflect this quest of the filmmaker. I wouldn't want to focus on them too much here, because the reader may think that the story itself matters more than it should. But see the references to Spielberg's similar quest with ""Close"" and ""List?"" See the imposition of the noir narrator and the notion of slippery trust? See the folds in the anagrams? Look how at the end, we have shifted truths but the ambiguity remains. He could indeed still be the investigating cop, now compromised. In fact, this could be a flashback to the episode we learn happened nine months previously. (Note in particular how the tie changes toward the end.)Those story elements would have made a good comment. I'll do that elsewhere. Here the point is to look at how Marty has a new eye. Look at how the camera is almost never anchored to a person. Look at how it always — always — starts with some focus on an element of the world then slips to catch a person (always Teddy, then his focus). Look at how well we understand the importance of location, architecture, place, space, situation. Look at how for the first time ever, Marty shows space: flying paper, ash, dust, hail, leaves, trees. Look at how he even explores the architecture of water a bit. Watch with admiration as he announces his love for Thelma (his editor), and allows her some rubato in how the thing is paced because she owns the clock of the world, now hers.My immediate context: I saw this in a theater with a pride of chattering young Marines. They could not follow the story and left laughing at themselves.Ted's Evaluation -- 3 of 3: Worth watching.","
            8/10
            "
